record_index,record_id,work_id,title,auto_level_source,auto_route_family_source,screen_priority_score_source,manual_queue_rank_source,final_level,include_final,exclusion_code,route_family_final,reviewer,review_basis,evidence_location,decision_notes,project_family_id,family_is_primary_work,family_grouping_basis,preferred_record_id,is_preferred_manifestation,dedup_rule
10,REC-082721F13E9FFC71,WORK-52F1C291DA3C97EE,Linear Transformations for Randomness Extraction,X,PARAMETERIZED_RTL,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-082721F13E9FFC71:title+abstract,"The abstract centers on an unrelated workload (Information-efficient approaches for extracting randomness from imperfect sources have been extensively studied, but simpler and faster ones are required in…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-082721F13E9FFC71,True,unique
11,REC-42EE9703F04DEB01,WORK-6680DFD3B945B3E9,Design and Implementation A different Architectures of mixcolumn in FPGA,X,PARAMETERIZED_RTL,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-42EE9703F04DEB01:title+abstract,"The abstract centers on an unrelated workload (This paper details Implementation of the Encryption algorithm AES under VHDL language In FPGA by using different architecture of mixcolumn) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-42EE9703F04DEB01,True,unique
12,REC-ADAAD71114348F43,WORK-5A128B19817AD461,Field Programmable DSP Arrays - A Novel Reconfigurable Architecture for Efficient Realization of Digital Signal Processing Functions,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-ADAAD71114348F43:title+abstract,"The abstract centers on an unrelated workload (Digital Signal Processing functions are widely used in real time high speed applications) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-ADAAD71114348F43,True,unique
13,REC-BA343A3251B11D61,WORK-8EC1F46929A24CE3,Incorporation of Polar Mellin Transform in a Hybrid Optoelectronic Correlator for Scale & Rotation Invariant Target Recognition,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-BA343A3251B11D61:title+abstract,"The abstract centers on an unrelated workload (In this paper, we show that our proposed hybrid optoelectronic correlator (HOC), which correlates images using spatial light modulators (SLM),…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-BA343A3251B11D61,True,unique
14,REC-8B22D9D0AE96DE69,WORK-46BBD6616D6EA0B8,Energy Efficient Telemonitoring of Physiological Signals via Compressed Sensing: A Fast Algorithm and Power Consumption Evaluation,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-8B22D9D0AE96DE69:title+abstract,"The abstract centers on an unrelated workload (Wireless telemonitoring of physiological signals is an important topic in eHealth) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-8B22D9D0AE96DE69,True,unique
15,REC-D0A5C080D9A7A8BB,WORK-79264B9AF0A38F19,A Scalable Hybrid FPGA/GPU FX Correlator,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D0A5C080D9A7A8BB:title+abstract,"The abstract centers on an unrelated workload (Radio astronomical imaging arrays comprising large numbers of antennas, O(10^2-10^3) have posed a signal processing challenge because of the required…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-D0A5C080D9A7A8BB,True,unique
16,REC-74F02CC1F5FFC6ED,WORK-3849E7C749FEF405,Open Cores for Digital Signal Processing,X,PARAMETERIZED_RTL,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-74F02CC1F5FFC6ED:title+abstract,"The abstract centers on an unrelated workload (This paper presents the design and implementation of three System on Chip (SoC) cores, which implement the Digital Signal Processing…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-74F02CC1F5FFC6ED,True,unique
17,REC-F7672CF25143AE27,WORK-57D4B07D624064E0,Design space exploration for image processing architectures on FPGA targets,X,,1,3,X,False,X_SECONDARY,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-F7672CF25143AE27:title+abstract,The abstract calls itself an elaborate review of FPGA image-processing transformations rather than a primary LM or hardware-generation contribution.,,False,,REC-F7672CF25143AE27,True,unique
18,REC-268040C167BF9193,WORK-9F7D0F2D78673D79,Multiplierless Approximate 4-point DCT VLSI Architectures for Transform Block Coding,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-268040C167BF9193:title+abstract,"The abstract centers on an unrelated workload (Two multiplierless algorithms are proposed for 4x4 approximate-DCT for transform coding in digital video) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-268040C167BF9193,True,unique
19,REC-3C23A5B385B56748,WORK-4B8CC808C6CC35BD,Real Time Speckle Image De-Noising,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3C23A5B385B56748:title+abstract,"The abstract centers on an unrelated workload (The paper presents real time speckle de-noising based on activity computation algorithm and wavelet transform) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-3C23A5B385B56748,True,unique
20,REC-789E8FCA8135E770,WORK-47F5AF2465AD25BB,Front-End Board with Cyclone V as a Test High-Resolution Platform for the Auger-Beyond-2015 Front End Electronics,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-789E8FCA8135E770:title+abstract,"The abstract centers on an unrelated workload (The surface detector (SD) array of the Pierre Auger Observatory containing at present 1680 water Cherenkov detectors spread over an…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-789E8FCA8135E770,True,unique
21,REC-C494916B77FB32D3,WORK-6847448131A463AA,Canadian Hydrogen Intensity Mapping Experiment (CHIME) Pathfinder,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-C494916B77FB32D3:title+abstract,"The abstract centers on an unrelated workload (A pathfinder version of CHIME (the Canadian Hydrogen Intensity Mapping Experiment) is currently being commissioned at the Dominion Radio Astrophysical…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-C494916B77FB32D3,True,unique
22,REC-B995D93FB5904453,WORK-F9A4BEBEFED188E3,The Design and Implementation of an ANN-based Non-linearity Compensator of LVDT Sensor,B,PARAMETERIZED_RTL,8,4,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B995D93FB5904453:title+abstract,The abstract implements a functional-link ANN only to linearize an LVDT sensor on a Spartan-II FPGA with no transformer-relevant operator.,,False,,REC-B995D93FB5904453,True,unique
23,REC-0FD00811878FA3A4,WORK-D62F8876E46F4353,A Many-Core Overlay for High-Performance Embedded Computing on FPGAs,D,OVERLAY,7,5,D,True,,OVERLAY,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-0FD00811878FA3A4:title+abstract,The abstract evaluates a configurable many-core FPGA overlay on matrix multiplication and thus exposes a programmable compute substrate transferable to transformer GEMM.,PF-C239379CBEEED950,True,single_work_family; no explicit cross-work release or extension evidence,REC-0FD00811878FA3A4,True,unique
24,REC-EB5B8D6B828622FE,WORK-89693455549AB256,Inner Loop Optimizations in Mapping Single Threaded Programs to Hardware,D,,7,5,C,True,,HLS,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-EB5B8D6B828622FE:title+abstract,The abstract maps high-level inner loops including matrix multiplication into synthesized FPGA hardware using dynamic loop pipelining.,PF-E4D65C229D06DEEF,True,single_work_family; no explicit cross-work release or extension evidence,REC-EB5B8D6B828622FE,True,unique
25,REC-CF808A2F7D6515B3,WORK-D55096E28E99EC3D,Improved 8-point Approximate DCT for Image and Video Compression Requiring Only 14 Additions,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-CF808A2F7D6515B3:title+abstract,"The abstract centers on an unrelated workload (Video processing systems such as HEVC requiring low energy consumption needed for the multimedia market has lead to extensive development…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-CF808A2F7D6515B3,True,unique
26,REC-3DCB691A456F4283,WORK-3547521F1681096D,A Discrete Tchebichef Transform Approximation for Image and Video Coding,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3DCB691A456F4283:title+abstract,"The abstract centers on an unrelated workload (In this paper, we introduce a low-complexity approximation for the discrete Tchebichef transform (DTT)) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-3DCB691A456F4283,True,unique
27,REC-1CDB61F0CD5CAEB4,WORK-644D0D827AFACE07,A Row-parallel 8$\times$8 2-D DCT Architecture Using Algebraic Integer Based Exact Computation,D,,7,5,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-1CDB61F0CD5CAEB4:title+abstract,The abstract implements only an exact 2-D DCT for video processing and exposes no transformer-relevant operator or compiler route.,,False,,REC-1CDB61F0CD5CAEB4,True,unique
28,REC-D30DB4EA311A5217,WORK-5CEE079FDD5A3B70,A Novel Architecture of Area Efficient FFT Algorithm for FPGA Implementation,X,PARAMETERIZED_RTL,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D30DB4EA311A5217:title+abstract,"The abstract centers on an unrelated workload (Fast Fourier transform (FFT) of large number of samples requires huge hardware resources of field programmable gate arrays (FPGA), which…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-D30DB4EA311A5217,True,unique
29,REC-F4379DB7478366EF,WORK-1CD43D6EBFE7E2F2,Inferring Program Transformations from Type Transformations for Partitioning of Ordered Sets,X,,5,6,C,True,,OVERLAY,codex-title-abstract-screen,title_abstract+local_full_text,"survey/build/phase1_mapping.csv#record_id=REC-F4379DB7478366EF:title+abstract;LLM-inference-on-FPGA-papers/papers/1504.05372v1.pdf#text-search=""TyTra architecture""",The paper derives correct-by-construction streaming program instances for the TyTra FPGA architecture from type transformations.,PF-79B83F5A4E7F8DB9,True,single_work_family; no explicit cross-work release or extension evidence,REC-F4379DB7478366EF,True,unique
30,REC-24BB9609714294BE,WORK-E11CCBCA0B95FDBC,Computational Cost Reduction in Learned Transform Classifications,X,,2,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-24BB9609714294BE:title+abstract,"The abstract centers on an unrelated workload (We present a theoretical analysis and empirical evaluations of a novel set of techniques for computational cost reduction of classifiers…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-24BB9609714294BE,True,unique
31,REC-F73FEC8CDF1AD512,WORK-5364CB92405D533B,SparkCL: A Unified Programming Framework for Accelerators on Heterogeneous Clusters,X,CPU_FPGA_FALLBACK,5,6,C,True,,CPU_FPGA_FALLBACK,codex-title-abstract-screen,title_abstract+local_full_text,"survey/build/phase1_mapping.csv#record_id=REC-F73FEC8CDF1AD512:title+abstract;LLM-inference-on-FPGA-papers/papers/1505.01120v1.pdf#text-search=""binary execution flow needed to support FPGAs""",SparkCL supplies a Java/OpenCL framework that dispatches one kernel code base to FPGA or other accelerator workers.,PF-40378684CAF73E4E,True,single_work_family; no explicit cross-work release or extension evidence,REC-F73FEC8CDF1AD512,True,unique
32,REC-7D9A3E658DD7EEE6,WORK-A2765C794787B27C,Model-based Hardware Design for FPGAs using Folding Transformations based on Subcircuits,X,,5,6,C,True,,HLS,codex-title-abstract-screen,title_abstract+local_full_text,"survey/build/phase1_mapping.csv#record_id=REC-7D9A3E658DD7EEE6:title+abstract;LLM-inference-on-FPGA-papers/papers/1508.06811v1.pdf#text-search=""VHDL code was synthesized""","The implemented flow transforms Simulink models, emits VHDL through HDL Coder, and synthesizes the result for a Virtex-4 FPGA.",PF-D1C3DB4E6A98758A,True,single_work_family; no explicit cross-work release or extension evidence,REC-7D9A3E658DD7EEE6,True,unique
33,REC-6D2573B50D47CD83,WORK-41C446CC1756DE0B,High Speed VLSI Architecture for 3-D Discrete Wavelet Transform,X,PARAMETERIZED_RTL,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-6D2573B50D47CD83:title+abstract,"The abstract centers on an unrelated workload (This paper presents a memory efficient, high throughput parallel lifting based running three dimensional discrete wavelet transform (3-D DWT) architecture) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-6D2573B50D47CD83,True,unique
34,REC-97877AF2A5AE0C14,WORK-F3C7C8C0328E3066,Recurrent Neural Networks Hardware Implementation on FPGA,X,,5,6,B,True,,DATAFLOW,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-97877AF2A5AE0C14:title+abstract,The FPGA implements a two-layer 128-unit LSTM and evaluates the complete accelerator with a character-level language model.,PF-9A1BD5D7BA70BD5E,True,single_work_family; no explicit cross-work release or extension evidence,REC-97877AF2A5AE0C14,True,unique
35,REC-88F29B4B825641C8,WORK-E284C7E0D2F51197,Energy Efficient Video Fusion with Heterogeneous CPU-FPGA Devices,C,HLS,8,2,C,True,,HLS,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-88F29B4B825641C8:title+abstract,The abstract maps DT-CWT transforms to an FPGA accelerator with HLS and compares adaptive CPU-versus-FPGA execution.,PF-6410FD6B840EC56B,True,single_work_family; no explicit cross-work release or extension evidence,REC-88F29B4B825641C8,True,unique
36,REC-9A045A7D0B1DE0CE,WORK-39F2EC446141DDC2,A Low Complexity VLSI Architecture for Multi-Focus Image Fusion in DCT Domain,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-9A045A7D0B1DE0CE:title+abstract,"The abstract centers on an unrelated workload (Due to the confined focal length of optical sensors, focusing all objects in a scene with a single sensor is…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-9A045A7D0B1DE0CE,True,unique
37,REC-65A934FBB91EDDC4,WORK-91485AB36E2CC985,2D Discrete Fourier Transform with Simultaneous Edge Artifact Removal for Real-Time Applications,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-65A934FBB91EDDC4:title+abstract,"The abstract centers on an unrelated workload (Two-Dimensional (2D) Discrete Fourier Transform (DFT) is a basic and computationally intensive algorithm, with a vast variety of applications) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-65A934FBB91EDDC4,True,unique
38,REC-FA096E95A0E3F88E,WORK-85D86140967BBC98,An Orthogonal 16-point Approximate DCT for Image and Video Compression,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-FA096E95A0E3F88E:title+abstract,"The abstract centers on an unrelated workload (A low-complexity orthogonal multiplierless approximation for the 16-point discrete cosine transform (DCT) was introduced) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-FA096E95A0E3F88E,True,unique
39,REC-CCE2E4EFAFB5F4F8,WORK-EC3A1DDA4B8AD17B,High Level Synthesis with a Dataflow Architectural Template,C,HLS,8,2,C,True,,HLS,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-CCE2E4EFAFB5F4F8:title+abstract,The work transforms high-level programs into multi-stage dataflow engines before circuit generation with an HLS tool.,PF-F9C89712D9219FAC,True,single_work_family; no explicit cross-work release or extension evidence,REC-CCE2E4EFAFB5F4F8,True,unique
40,REC-DCFC6B023D9EF9F8,WORK-0D9869A0E3DDBEEE,Multiplierless 16-point DCT Approximation for Low-complexity Image and Video Coding,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-DCFC6B023D9EF9F8:title+abstract,"The abstract centers on an unrelated workload (An orthogonal 16-point approximate discrete cosine transform (DCT) is introduced) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-DCFC6B023D9EF9F8,True,unique
41,REC-24048AD2630EDCFD,WORK-F65CA2011450E578,DiaSys: Improving SoC Insight Through On-Chip Diagnosis,X,DATAFLOW,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-24048AD2630EDCFD:title+abstract,"The abstract centers on an unrelated workload (To find the cause of a functional or non-functional defect (bug) in software running on a multi-processor System-on-Chip (MPSoC), developers…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-24048AD2630EDCFD,True,unique
42,REC-366778764662CFF9,WORK-03251B78F491CCFF,Inter-Technology Backscatter: Towards Internet Connectivity for Implanted Devices,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-366778764662CFF9:title+abstract,"The abstract centers on an unrelated workload (We introduce inter-technology backscatter, a novel approach that transforms wireless transmissions from one technology to another, on the air) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-366778764662CFF9,True,unique
43,REC-975D4F11BDBF4844,WORK-B7D7F41F7493E435,Low-complexity Image and Video Coding Based on an Approximate Discrete Tchebichef Transform,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-975D4F11BDBF4844:title+abstract,"The abstract centers on an unrelated workload (The usage of linear transformations has great relevance for data decorrelation applications, like image and video compression) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-975D4F11BDBF4844,True,unique
44,REC-1CE9180A227DA1D1,WORK-800C388CA26F9C9D,Accurate and Efficient Hyperbolic Tangent Activation Function on FPGA using the DCT Interpolation Filter,X,,2,6,D,True,,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-1CE9180A227DA1D1:title+abstract,The Virtex-7 implementation provides a tunable low-area nonlinear activation approximation with quantified error and resource cost.,PF-234BEA9090CAC5FC,True,single_work_family; no explicit cross-work release or extension evidence,REC-1CE9180A227DA1D1,True,unique
45,REC-91117B7563F9179D,WORK-62CB49C624CDF206,FPGA Implementation of High Speed Reconfigurable Filter Bank for Multi-standard Wireless Communication Receivers,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-91117B7563F9179D:title+abstract,"The abstract centers on an unrelated workload (In next generation wireless communication system, wireless transceivers should be able to handle wideband input signals compromising of multiple communication…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-91117B7563F9179D,True,unique
46,REC-3DC05E88182B3C4E,WORK-DA4C6FC4C827F66E,FPGA-Based Low-Power Speech Recognition with Recurrent Neural Networks,X,,5,6,B,True,,DATAFLOW,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3DC05E88182B3C4E:title+abstract,The FPGA speech system implements recurrent acoustic and character-level language models with quantized on-chip weights.,PF-DC2ED575AA87285F,True,single_work_family; no explicit cross-work release or extension evidence,REC-3DC05E88182B3C4E,True,unique
47,REC-88300383F39A1E30,WORK-E258A97C5BBB6BAA,Energy-efficient 8-point DCT Approximations: Theory and Hardware Architectures,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-88300383F39A1E30:title+abstract,"The abstract centers on an unrelated workload (Due to its remarkable energy compaction properties, the discrete cosine transform (DCT) is employed in a multitude of compression standards,…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-88300383F39A1E30,True,unique
48,REC-B4570AD5B3B50DDC,WORK-D753040CEE84934B,Efficient Realization of Householder Transform through Algorithm-Architecture Co-design for Acceleration of QR Factorization,D,,7,5,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B4570AD5B3B50DDC:title+abstract,The abstract accelerates Householder QR factorization on a reconfigurable datapath and provides no direct transformer inference contribution.,,False,,REC-B4570AD5B3B50DDC,True,unique
49,REC-F88C6066A8140556,WORK-12F868132D84C877,An OpenCL(TM) Deep Learning Accelerator on Arria 10,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-F88C6066A8140556:title+abstract,"The abstract centers on an unrelated workload (Convolutional neural nets (CNNs) have become a practical means to perform vision tasks, particularly in the area of image classification) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-F88C6066A8140556,True,unique
50,REC-7E30A752F924F93D,WORK-D02DA0E7FF39EC9C,A Digital Hardware Fast Algorithm and FPGA-based Prototype for a Novel 16-point Approximate DCT for Image Compression Applications,X,,5,6,X,False,X_NON_LM_MODEL,,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-7E30A752F924F93D:title+abstract,"The abstract centers on an unrelated workload (The discrete cosine transform (DCT) is the key step in many image and video coding standards) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",,False,,REC-7E30A752F924F93D,True,unique
51,REC-22B8F133078A7448,WORK-769AF53322C4EFB1,Hardware Automated Dataflow Deployment of CNNs,X,DATAFLOW,5,6,C,True,,PARAMETERIZED_RTL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-22B8F133078A7448:title+abstract,The open-source haddoc2 tool automatically transforms a CNN description into platform-independent hardware description for FPGA implementation.,PF-E62816200029AE73,True,single_work_family; no explicit cross-work release or extension evidence,REC-22B8F133078A7448,True,unique
