record_index,record_id,work_id,title,final_level,reviewer,review_basis,evidence_location,selection_rule,sample_hash
304,REC-1C8427A2FAEFACE4,WORK-7C8209B4880448DD,AccLLM: Accelerating Long-Context LLM Inference Via Algorithm-Hardware Co-Design,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-1C8427A2FAEFACE4:title+abstract;source_url=https://arxiv.org/pdf/2505.03745v1;cache_filename=2505.03745v1.pdf;cache_sha256=9d183689febd28655e39b0b35fddc464d32306e4138f8817d2c269f96f1c4aca;locator=pages 9-11 section VI search phrase input and output token sizes,all final A/C,7c8209b4880448dd8d3dcfcbaa53cd6651fe4921b2cc7d052be3b119c8c290c9
374,REC-F678D73F154843E5,WORK-84D489636861F87C,Efficient Kernel Mapping and Comprehensive System Evaluation of LLM Acceleration on a CGLA,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-F678D73F154843E5:title+abstract,all final A/C,84d489636861f87c4abf6065e36ad89216bf0fd946eebb78a04c77eee4ba0dde
298,REC-74DFFEF8FFD0B3C6,WORK-91AE5CC8F766B61B,"HPU: High-Bandwidth Processing Unit for Scalable, Cost-effective LLM Inference via GPU Co-processing",A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-74DFFEF8FFD0B3C6:title+abstract;source_url=https://arxiv.org/pdf/2504.16112v2;cache_filename=2504.16112v2.pdf;cache_sha256=213bc5f4839143796fc7f26ab61a4de490f60adccd62dea250305148fa88d733;locator=pages 5-6 sections V-B and VI search phrase end-to-end execution time,all final A/C,91ae5cc8f766b61bad450acf4aae5015433a4d574e17af4fc0d2850a52cd7037
447,REC-C963AD29DE58DB45,WORK-928EA6B97FB61C3A,ELiTeFormer: An Efficient Transformer for FPGAs,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-C963AD29DE58DB45:title+abstract;source_url=https://arxiv.org/pdf/2607.03652v1;cache_filename=2607.03652v1.pdf;cache_sha256=9ba54bc8de4d7dbdc384b8bd8938b7bca32b3ba3c4e6b4f4699ed75dfb9b3860;locator=section=4.3.2.ELiTeFormer_1B_Latency_Profile&search=employs_Vitis_HLS_to_generate_RTL,all final A/C,928ea6b97fb61c3a70cf1d12f7e9f8b5f09e8b505436c6fdef216878df698387
375,REC-795EC13A60CA2881,WORK-A0F72D4F2FF027A7,PD-Swap: Prefill-Decode Logic Swapping for End-to-End LLM Inference on Edge FPGAs via Dynamic Partial Reconfiguration,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-795EC13A60CA2881:title+abstract,all final A/C,a0f72d4f2ff027a7f538f45c7727cd8e3ea060202b5bd09297cd11805a591864
282,REC-561FD75C12B8EF91,WORK-A1B348125B5B8EE0,LightMamba: Efficient Mamba Acceleration on FPGA with Quantization and Hardware Co-design,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-561FD75C12B8EF91:title+abstract,all final A/C,a1b348125b5b8ee0de94a4fe1ff498a45932481396451cac15d9bd36c4ea1f2d
327,REC-3E83647529A0BF93,WORK-A34BBA66476F4AD5,SpeedLLM: An FPGA Co-design of Large Language Model Inference Accelerator,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-3E83647529A0BF93:title+abstract;source_url=https://arxiv.org/pdf/2507.14139v1;cache_filename=2507.14139v1.pdf;cache_sha256=1e6f55eab43699e6f5ed9f76a8ad76e36e2ac2a87cee0bc2e74c9e601444dd37;locator=page 2 search phrase complete inference,all final A/C,a34bba66476f4ad5f5c7549c004748eabc3388ea6c6b0dc8c82281ed714fbbd3
294,REC-A9B512BD33750559,WORK-ABA659CF3411B26B,LoopLynx: A Scalable Dataflow Architecture for Efficient LLM Inference,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-A9B512BD33750559:title+abstract;source_url=https://arxiv.org/pdf/2504.09561v1;cache_filename=2504.09561v1.pdf;cache_sha256=ec1414a11856842e6ae5bc705891fed12649b8ad422e464b6da5bd0b6fd2e937;locator=pages 2 and 5-6 sections III and V search phrase end-to-end inference through L transformer blocks,all final A/C,aba659cf3411b26bbf1c91e0cc38bb4636b01fb7cfe281c81b62f6e1e43fa97f
254,REC-36C4AAA4FD4ACA93,WORK-BB05D1FE7F29FD30,TATAA: Programmable Mixed-Precision Transformer Acceleration with a Transformable Arithmetic Architecture,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-36C4AAA4FD4ACA93:title+abstract;source_url=https://arxiv.org/pdf/2411.03697v1;cache_filename=2411.03697v1.pdf;cache_sha256=525c9c6acb16aaa5e833ced7eae3252d03863f3f0189782c654aa2f870547c47;locator=section=Table_7&search=only_measure_the_pre-fill_stage_for_GPT-2,all final A/C,bb05d1fe7f29fd304b7cf98848e2b3836749820589f8a250711385d97acdf5fa
301,REC-27F112DB592D26A2,WORK-C8B396D704EF5C5B,On-Device Qwen2.5: Efficient LLM Inference with Model Compression and Hardware Acceleration,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-27F112DB592D26A2:title+abstract,all final A/C,c8b396d704ef5c5b84bae1d4cb216ff805b7a3d706cf640d043721716f8c139f
366,REC-3ED97335A1D4DAF1,WORK-CBBDA38C4BD4D8B3,LUT-LLM: Efficient Large Language Model Inference with Memory-based Computations on FPGAs,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3ED97335A1D4DAF1:title+abstract,all final A/C,cbbda38c4bd4d8b3951dc8d8ed765a6c54457c6a35be633679ec44a33890824b
357,REC-48B14D3F981A4130,WORK-D98F092B3E212C22,TeLLMe v2: An Efficient End-to-End Ternary LLM Prefill and Decode Accelerator with Table-Lookup Matmul on Edge FPGAs,A,codex-title-abstract-screen,title_abstract+local_full_text,"survey/build/phase1_mapping.csv#record_id=REC-48B14D3F981A4130:title+abstract;source_url=https://arxiv.org/pdf/2510.15926v2;cache_filename=2510.15926v2.pdf;cache_sha256=510e249e529748795cf6544efe41473ee18bf0ffd943e37974f76afc3064f14d;locator=References_[8],_arXiv:2504.16266",all final A/C,d98f092b3e212c223533322f310ee35574a3643ef3e88b388f85da000e3151bc
237,REC-1E3A0B27361246BF,WORK-DCE09D929C018AE2,"Research on LLM Acceleration Using the High-Performance RISC-V Processor ""Xiangshan"" (Nanhu Version) Based on the Open-Source Matrix Instruction Set Extension (Vector Dot Product)",A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-1E3A0B27361246BF:title+abstract;source_url=https://arxiv.org/pdf/2409.00661v1;cache_filename=2409.00661v1.pdf;cache_sha256=5a86cbf7e409b775e6b559e98d7d9305d851c45f92ca1f0a0e4cb5e731f52097;locator=pages 6-8 section 5.4.3 search phrase GPT-2 inference speed comparison,all final A/C,dce09d929c018ae26c6c8c9efe89dd3f9a5256d19ababfbea2ba13ddd8c3f85c
191,REC-69006487AF098BB4,WORK-E16D1DA19CB5E658,Understanding the Potential of FPGA-Based Spatial Acceleration for Large Language Model Inference,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-69006487AF098BB4:title+abstract,all final A/C,e16d1da19cb5e658cdf39b248ec1fc730595c464f0faa537b188350323ce1aa6
194,REC-9DD301C82F69C383,WORK-E236C8566735C650,FlightLLM: Efficient Large Language Model Inference with a Complete Mapping Flow on FPGAs,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-9DD301C82F69C383:title+abstract;source_url=https://arxiv.org/pdf/2401.03868v2;cache_filename=2401.03868v2.pdf;cache_sha256=e0d38c8754516973d62749c846ebe63ea3984b569a1613b98340ef13249fd4da;locator=section=5.3.Analytical_Model_for_RTL_Generation&search=RTL_generator,all final A/C,e236c8566735c650dc7cbae39189b4c9b49fffa4c4461d10544dac797e77b039
150,REC-DACDD99CB85CF6D1,WORK-E2DE341FFF77BC47,DFX: A Low-latency Multi-FPGA Appliance for Accelerating Transformer-based Text Generation,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-DACDD99CB85CF6D1:title+abstract,all final A/C,e2de341fff77bc478e8014f6e09c57caacaa2ac0227dd3fbb6a328340f040edb
410,REC-377F6DCA995797F6,WORK-EA9F4D3B9BBE30B0,Understand and Accelerate Memory Processing Pipeline for Large Language Model Inference,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-377F6DCA995797F6:title+abstract,all final A/C,ea9f4d3b9bbe30b01f3f114f9c72a51f58c04c8dbb015646856807e38a80c255
280,REC-614E448623940710,WORK-ECEF69A1B2E67BCF,Pushing up to the Limit of Memory Bandwidth and Capacity Utilization for Efficient LLM Decoding on Embedded FPGA,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-614E448623940710:title+abstract,all final A/C,ecef69a1b2e67bcf6f30624dcfeb37a0b3dbcd6d4bdf90bbce9088b15654b12d
299,REC-0A35BCF12DE7E299,WORK-EDCEC112A1B67954,TeLLMe: An Energy-Efficient Ternary LLM Accelerator for Prefilling and Decoding on Edge FPGAs,A,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-0A35BCF12DE7E299:title+abstract,all final A/C,edcec112a1b6795422840d2c66d6cb412a59bfeecf9d562900510db76cd17595
383,REC-136E0A6CF2902F8E,WORK-F722142B1B386E2D,HFRWKV: A High-Performance Fully On-Chip Hardware Accelerator for RWKV,A,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-136E0A6CF2902F8E:title+abstract;source_url=https://arxiv.org/pdf/2601.02135v1;cache_filename=2601.02135v1.pdf;cache_sha256=01d696a483f0a36e2b9790e445da5fa2261f495851eeed29fe095b9529daed69;locator=pages 6-8 sections 4.1 and 5.3 search phrase sustained token-per-second rate,all final A/C,f722142b1b386e2d51293b4295001521c2bc912c00cc58d39a2fc766bf07db82
443,REC-CC1778CFFA15521D,WORK-003EF2CAF21772CA,FlexViT: A Flexible FPGA-based Accelerator for Edge Vision Transformers,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-CC1778CFFA15521D:title+abstract,lowest stable hashes; ceil(20%),003ef2caf21772ca3ce89f82fc2ebbe0d9b87cdaefea1a4de500a607894e8736
112,REC-20E17694FEA9B59B,WORK-03D94E125DD80AF1,NPE: An FPGA-based Overlay Processor for Natural Language Processing,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-20E17694FEA9B59B:title+abstract,lowest stable hashes; ceil(20%),03d94e125dd80af1a816e19847713e86e62cea0ddb533c13f74fa46133e36276
180,REC-5379D6B857EA5D12,WORK-17A0A20AECE62821,An Efficient FPGA-Based Accelerator for Swin Transformer,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-5379D6B857EA5D12:title+abstract,lowest stable hashes; ceil(20%),17a0a20aece62821c799415dddbfa4d5b9c010539874ae391aeef368d4a2cce8
94,REC-E1A7182426E47166,WORK-1AD08F6ABA5AA02A,FastWave: Accelerating Autoregressive Convolutional Neural Networks on FPGA,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-E1A7182426E47166:title+abstract,lowest stable hashes; ceil(20%),1ad08f6aba5aa02ae512147e73e29d21dd08ec2f3f6deb35d0f171421801a70c
110,REC-969D3C59E6AFE5EC,WORK-297FF14654635BE2,Hardware Acceleration of Fully Quantized BERT for Efficient Natural Language Processing,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-969D3C59E6AFE5EC:title+abstract,lowest stable hashes; ceil(20%),297ff14654635be29d81e4049cb97d93db3c7cba956750a79d12af0a70a78a05
242,REC-00876C5760C7308E,WORK-2C89087AD30358EE,ProTEA: Programmable Transformer Encoder Acceleration on FPGA,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-00876C5760C7308E:title+abstract,lowest stable hashes; ceil(20%),2c89087ad30358ee35ab485bf7397ee3e8a2cbec9aaaa5871e87b7095265dec2
172,REC-66B094C6BAA51FA7,WORK-2D44FCCE8D9826E3,Edge-MoE: Memory-Efficient Multi-Task Vision Transformer Architecture with Task-level Sparsity via Mixture-of-Experts,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-66B094C6BAA51FA7:title+abstract,lowest stable hashes; ceil(20%),2d44fcce8d9826e3c047997beb93425c25a38beb5a828cb1ac7633f4d603bb44
419,REC-8539603CEC57E49F,WORK-30E9FBE10B8E6877,ViM-Q: Scalable Algorithm-Hardware Co-Design for Vision Mamba Model Inference on FPGA,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-8539603CEC57E49F:title+abstract,lowest stable hashes; ceil(20%),30e9fbe10b8e68774a2220c4bf312e0171f67aabfb3e3d2a651edf652b126377
100,REC-2591DFCD2FE56740,WORK-33FCAA9884545EDC,FTRANS: Energy-Efficient Acceleration of Transformers using FPGA,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-2591DFCD2FE56740:title+abstract,lowest stable hashes; ceil(20%),33fcaa9884545edc06b7f3cdb5f86501a407cfcd01d1f0c5b6537a1a307d6535
143,REC-09886EF1B7D2452B,WORK-38BF32F01373E3F9,A Length Adaptive Algorithm-Hardware Co-design of Transformer on FPGA Through Sparse Attention and Dynamic Pipelining,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-09886EF1B7D2452B:title+abstract,lowest stable hashes; ceil(20%),38bf32f01373e3f9bfc0f73db83626ce8eea6096411ef3f9daebc5bad53f19bc
228,REC-6C5ABE261E433D60,WORK-3B8C5897C48327F6,Integer-only Quantized Transformers for Embedded FPGA-based Time-series Forecasting in AIoT,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-6C5ABE261E433D60:title+abstract,lowest stable hashes; ceil(20%),3b8c5897c48327f634f44a294089a73c8a43d31e91cb8816f88ac5cfea859ccb
300,REC-7EB569AC45BB6577,WORK-3E70F9D5F5091C07,COBRA: Algorithm-Architecture Co-optimized Binary Transformer Accelerator for Edge Inference,B,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-7EB569AC45BB6577:title+abstract,lowest stable hashes; ceil(20%),3e70f9d5f5091c07af9ead0f8013e98e63da6f9739dfe8cac1a9806e1ff5b5bd
234,REC-949433116AB006C6,WORK-04C9E3214FC7C3F0,Designing Efficient LLM Accelerators for Edge Devices,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-949433116AB006C6:title+abstract,all final A/C,04c9e3214fc7c3f0eba66cec7b57ad7fac128aa722c2e7628165a746c0cd7377
256,REC-78E9518BF6FC6EBF,WORK-0673CDF1421E1159,SILVIA: Automated Superword-Level Parallelism Exploitation via HLS-Specific LLVM Passes for Compute-Intensive FPGA Accelerators,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-78E9518BF6FC6EBF:title+abstract,all final A/C,0673cdf1421e115953867322a04d0f51fc22b987baa173cc354f0e4edf047ff3
212,REC-8CA067D69DCD7740,WORK-07267F46FB72A6F4,The Feasibility of Implementing Large-Scale Transformers on Multi-FPGA Platforms,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-8CA067D69DCD7740:title+abstract,all final A/C,07267f46fb72a6f467a8ce5895811a9af522cb248fb13e8c741ff7d27e4f729c
91,REC-77F2744384901A06,WORK-084846F91CFBBCB6,HTCC: Haskell to Handel-C Compiler,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-77F2744384901A06:title+abstract,all final A/C,084846f91cfbbcb6f6d5702e360ed6f7df712e725ad0333f83870ae4820b4fee
144,REC-D9F3C753FC29AAD4,WORK-08FAB232B669E96A,Auto-ViT-Acc: An FPGA-Aware Automatic Acceleration Framework for Vision Transformer with Mixed-Scheme Quantization,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D9F3C753FC29AAD4:title+abstract,all final A/C,08fab232b669e96ae241a6a20eed349ebb3ef1dfb88eb401aee1fbed882bff9b
239,REC-6099EE66504F6EF2,WORK-1088AF5881ECBED8,Low Latency Transformer Inference on FPGAs for Physics Applications with hls4ml,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-6099EE66504F6EF2:title+abstract,all final A/C,1088af5881ecbed89d0fd12402ec27451cbdb3efa8243a1243aad8c6b232efe0
86,REC-A47AFFCD278380DB,WORK-1188F93214A494F8,Stateful Dataflow Multigraphs: A Data-Centric Model for Performance Portability on Heterogeneous Architectures,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-A47AFFCD278380DB:title+abstract,all final A/C,1188f93214a494f8e017aa39d7b34737d9f06cf9361e519c900ab3220926ab57
229,REC-B7DAC6E64AEA32C6,WORK-13DC055F6B287384,CHOSEN: Compilation to Hardware Optimization Stack for Efficient Vision Transformer Inference,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B7DAC6E64AEA32C6:title+abstract,all final A/C,13dc055f6b2873846917509297a6817800d4e36c657048c5773c4ae89a8398ee
113,REC-D5344767957D09B6,WORK-16BE8A0343541715,TensorLib: A Spatial Accelerator Generation Framework for Tensor Algebra,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D5344767957D09B6:title+abstract,all final A/C,16be8a034354171563be1f52a6970b359eed4b829bbe8296aff577ea6980f2a6
352,REC-525F07C62996AA0D,WORK-16DC17039A44A993,TrackCore-F: Deploying Transformer-Based Subatomic Particle Tracking on FPGAs,C,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-525F07C62996AA0D:title+abstract;source_url=https://arxiv.org/pdf/2509.26335v2;cache_filename=2509.26335v2.pdf;cache_sha256=0bb2fdd9db448347dbc5104aef9217f83017dcecc5dad37e37d0c3b431220668;locator=pages 3-5 sections 3-4 search phrase Vitis HLS is used,all final A/C,16dc17039a44a99355b3587184bf30827886994c3ed1da142042e5c7e13577e8
29,REC-F4379DB7478366EF,WORK-1CD43D6EBFE7E2F2,Inferring Program Transformations from Type Transformations for Partitioning of Ordered Sets,C,codex-title-abstract-screen,title_abstract+local_full_text,"survey/build/phase1_mapping.csv#record_id=REC-F4379DB7478366EF:title+abstract;source_url=https://arxiv.org/pdf/1504.05372v1;cache_filename=1504.05372v1.pdf;cache_sha256=8bc31794ab37585fbadeabbd60fc10796ef4ddbf2eb14c61c6b27b18519ce930;locator=text-search=""TyTra architecture""",all final A/C,1cd43d6ebfe7e2f2123f1fd0622e262aa5e7a44c700f84c221c58b77c1c9367a
370,REC-ED5450FF15872377,WORK-1F4A9AE690A421DC,SkyEgg: Joint Implementation Selection and Scheduling for Hardware Synthesis using E-graphs,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-ED5450FF15872377:title+abstract,all final A/C,1f4a9ae690a421dcd78737b1c68bd163966669069d3f01146ad8ffa6dab3059c
170,REC-03B61755E4BFDD6B,WORK-2812841B4B991927,FieldHAR: A Fully Integrated End-to-end RTL Framework for Human Activity Recognition with Neural Networks from Heterogeneous Sensors,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-03B61755E4BFDD6B:title+abstract,all final A/C,2812841b4b991927d7efa6040ef8270567fbb280f832cbff366f00df61e323b6
117,REC-7C4BA136157B6978,WORK-359FF56D3A0F0977,Compiler-Driven FPGA Virtualization with SYNERGY,C,codex-title-abstract-screen,title_abstract+local_full_text,"survey/build/phase1_mapping.csv#record_id=REC-7C4BA136157B6978:title+abstract;source_url=https://arxiv.org/pdf/2109.02484v1;cache_filename=2109.02484v1.pdf;cache_sha256=b5f7bce13f2db0443d2390c546971fc0a35bc222ba578d1c0dd9ee0918520c55;locator=text-search=""compiler backend targeting an OS-level protection layer""",all final A/C,359ff56d3a0f097743cdc1ad84fd30767dfc3eca441da56ce3bca0f0c14a33e8
382,REC-A0B5993AEECCF0B8,WORK-3A37BBC235AD6733,FPGA Co-Design for Efficient N:M Sparse and Quantized Model Inference,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-A0B5993AEECCF0B8:title+abstract,all final A/C,3a37bbc235ad6733d9533ed4b94fa05673c23e5e964a864041daedbba3ae9025
451,REC-3C1BB60FF7107D12,WORK-3CAB3D32CF889A6E,Machine Learning-Based Reconstruction for Resistive Silicon Sensors,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3C1BB60FF7107D12:title+abstract,all final A/C,3cab3d32cf889a6ed5ac5a06fe1e6fd6488787c79717d12d5b89f7baa1a9ff14
129,REC-EB4A8C6C964584F8,WORK-3CCB7F61909FFF3D,VAQF: Fully Automatic Software-Hardware Co-Design Framework for Low-Bit Vision Transformer,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-EB4A8C6C964584F8:title+abstract,all final A/C,3ccb7f61909fff3d7ee19fc16fb4825c28f023078a3e83ef2edeb2a89816b35c
245,REC-32CC94372EE77D83,WORK-49843E6B36F898D3,Resource-aware Mixed-precision Quantization for Enhancing Deployability of Transformers for Time-series Forecasting on Embedded FPGAs,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-32CC94372EE77D83:title+abstract,all final A/C,49843e6b36f898d36adba655c5f1eb4aa221e3c8ed79b1ec15235bdb8462b0a8
335,REC-B9BB1B48E25209CD,WORK-DE1374C0AC8B542C,DiffAxE: Diffusion-driven Hardware Accelerator Generation and Design Space Exploration,C,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B9BB1B48E25209CD:title+abstract,all final A/C,50b1397a5a82974e6e6077da104f39f1c177899b9ad6413366ff6920c5110a74
340,REC-2524EF73E57121D9,WORK-5333E781778558B3,Automated Energy-Aware Time-Series Model Deployment on Embedded FPGAs for Resilient Combined Sewer Overflow Management,C,codex-title-abstract-screen,title_abstract+local_full_text,survey/build/phase1_mapping.csv#record_id=REC-2524EF73E57121D9:title+abstract;source_url=https://arxiv.org/pdf/2508.13905v2;cache_filename=2508.13905v2.pdf;cache_sha256=fc8531e3e197d60f4c38c90490300f416cdd7e0c952c35dce328d95dc940a3be;locator=section=Hardware-aware_deployment&search=modular_VHDL_code_generation,all final A/C,5333e781778558b3574d95046456387aeece9574a857f5beb930dfdba7e94b5b
