project_family_id,title,level_final,route_family,preferred_record_id,stable_identifier_type,stable_identifier,source_url,artifact_claim_state,paper_reported_url,normalized_artifact_url,artifact_kind,artifact_relation,evidence_location,observed_status,licence_state,licence_evidence,repository_audit_id,artifact_evidence_request_ids_json,artifact_endpoint_evidence_json,metadata_services_json,metadata_status_codes_json,failure_code,limitations
PF-3DBBE522B68ECE13,Low Latency Transformer Inference on FPGAs for Physics Applications with hls4ml,C,HLS,REC-6099EE66504F6EF2,arxiv,2409.05207,https://arxiv.org/abs/2409.05207v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2409.05207v1.pdf#cache_filename=2409.05207v1.pdf;cache_sha256=52e6be2898b331cb37bedb6745dfacb094e9c3792f73de512b9722d557b6b2b0;locator=pages-1-11_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-3F53C7B76FD59E5C,DNNVM : End-to-End Compiler Leveraging Heterogeneous Optimizations on FPGA-based CNN Accelerators,C,OVERLAY,REC-89287D342E6CE922,arxiv,1902.07463,https://arxiv.org/abs/1902.07463v2,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/1902.07463v2.pdf#cache_filename=1902.07463v2.pdf;cache_sha256=2312d3e1ce897556815e8a8f02e0b7fb1aebd3822c287eb58343235df18d2b35;locator=pages-1-18_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-40340776F6A61628,TerEffic: Highly Efficient Ternary LLM Inference on FPGA,A,DATAFLOW,REC-9EEECBE6F301F9A2,arxiv,2502.16473,https://arxiv.org/abs/2502.16473v2,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2502.16473v2.pdf#cache_filename=2502.16473v2.pdf;cache_sha256=56625cc3468ae5d9de4eba7f39d3c78f794cc19df815288298f0dce1c6a0464d;locator=pages-1-10_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-4EBDD47F47E94583,Automating Versatile Time-Series Analysis with Tiny Transformers on Embedded FPGAs,C,PARAMETERIZED_RTL,REC-55C6CBE6658E4D6D,arxiv,2505.17662,https://arxiv.org/abs/2505.17662v5,paper_reported_future_release,https://github.com/Edwina1030/TinyTransformer4TS,https://github.com/Edwina1030/TinyTransformer4TS,github_repository,paper_reported_future_release_repository,https://arxiv.org/pdf/2505.17662v5.pdf#cache_filename=2505.17662v5.pdf;cache_sha256=6a7db36631dbd4ce5454de853c620ec74c5b3ad511bc40e16037d0a2004560f6;locator=page-1_section-Abstract_phrase-All-source-code-will-be-released,observed,detected,GitHub licence API at 3b3e98fabbca7987809c681244076a646af519b9: MIT,REPO-PF-4EBDD47F47E94583,"[""edwina1030/tinytransformer4ts:repository"",""edwina1030/tinytransformer4ts:commit:master"",""edwina1030/tinytransformer4ts:tree:3b3e98fabbca7987809c681244076a646af519b9"",""edwina1030/tinytransformer4ts:releases"",""edwina1030/tinytransformer4ts:licence:3b3e98fabbca7987809c681244076a646af519b9"",""edwina1030/tinytransformer4ts:readme:3b3e98fabbca7987809c681244076a646af519b9""]","{""licence"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/6df9ef7690c075cf9ef345962fc78efcd2d8aa080a34746ff1e604c60f76e9a7.body"",""request_identifier"":""edwina1030/tinytransformer4ts:licence:3b3e98fabbca7987809c681244076a646af519b9"",""response_sha256"":""9c31e8e34ff7be2100041dd1e37d8750c3dc815e9c7030201aec1b2d87297122"",""source"":""github_api""},""readme"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/c6f2eb6b2c64fbfdd1de0f56aa32d6245831d66ffef8643f4d2b81253fc18352.body"",""request_identifier"":""edwina1030/tinytransformer4ts:readme:3b3e98fabbca7987809c681244076a646af519b9"",""response_sha256"":""217c395fc66b06f9abb4abd75ac00841de0f1d79bf22f55e5e66d516f094fc33"",""source"":""github_api""},""releases"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/25b4f2ad25a776bb39fbdfd4abf16d4621e60b1925953e414461ce4fa2e27e12.body"",""request_identifier"":""edwina1030/tinytransformer4ts:releases"",""response_sha256"":""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945"",""source"":""github_api""},""remote_commit"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/05524b36ec1fd04c83c025b3972cdb3c3c5fd82332a8ea8cf8b204c2f2f902a7.body"",""request_identifier"":""edwina1030/tinytransformer4ts:commit:master"",""response_sha256"":""f9dbaaae20a3b248ba2208fd63cb69359ea6b4a3f8f32b89d5cf4b29dc821269"",""source"":""github_api""},""repository"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/b52be8cb525502c29e3a34082be0640cced3587ed76575381c61c0fb10cd40b5.body"",""request_identifier"":""edwina1030/tinytransformer4ts:repository"",""response_sha256"":""c7c847b3df33300c89558729ff4a22a1945f1cfdbd5009989f50031a99efd125"",""source"":""github_api""},""tree"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/github/ac356a4e718bbc1d59a751cbb273357ad6896f52dcf03fa275d32e15736eecf6.body"",""request_identifier"":""edwina1030/tinytransformer4ts:tree:3b3e98fabbca7987809c681244076a646af519b9"",""response_sha256"":""09db867d6000c8f0d8ee8868696d7981e66ca0665762ed86c27df34bd7fe796b"",""source"":""github_api""}}","[""arxiv"",""crossref"",""openalex""]","{""arxiv"":200,""crossref"":200,""openalex"":200}",NONE,"GitHub repository/tree/licence/release/README API evidence only; no clone, dependency fetch, build, generated-file comparison, or binary inspection"
PF-52A5A896CDEFF78D,FlexLLM: Composable HLS Library for Flexible Hybrid LLM Accelerator Design,A,HLS,REC-F7C40BB06A37B794,arxiv,2601.15710,https://arxiv.org/abs/2601.15710v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2601.15710v1.pdf#cache_filename=2601.15710v1.pdf;cache_sha256=68a8c0f9f483718cdf2ea63657253814536302c8648f77491d75446ba0af92c1;locator=pages-1-10_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-5345A35EEB976D35,FastMamba: A High-Speed and Efficient Mamba Accelerator on FPGA with Accurate Quantization,A,DATAFLOW,REC-6FA4AA8C0ADE1CF7,arxiv,2505.18975,https://arxiv.org/abs/2505.18975v4,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2505.18975v4.pdf#cache_filename=2505.18975v4.pdf;cache_sha256=28c2fd79f07e99d0b283b22ba825fc73ec1f1d47215f236c770cecc353cbc85a;locator=pages-1-6_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-5423EA8E2FD4952E,Platform-Aware FPGA System Architecture Generation based on MLIR,C,MLIR_CIRCT,REC-A4176B89BC21CA65,arxiv,2309.12917,https://arxiv.org/abs/2309.12917v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2309.12917v1.pdf#cache_filename=2309.12917v1.pdf;cache_sha256=4c630272c06cb0f9264badec40c0d4543d0b1bfd7981cd3b146ab30d1162b0c0;locator=pages-1-5_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-5487714A7E757A5C,TATAA: Programmable Mixed-Precision Transformer Acceleration with a Transformable Arithmetic Architecture,A,OVERLAY,REC-36C4AAA4FD4ACA93,arxiv,2411.03697,https://arxiv.org/abs/2411.03697v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2411.03697v1.pdf#cache_filename=2411.03697v1.pdf;cache_sha256=525c9c6acb16aaa5e833ced7eae3252d03863f3f0189782c654aa2f870547c47;locator=pages-1-25_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-5EF68A1A692430F1,On-Device Qwen2.5: Efficient LLM Inference with Model Compression and Hardware Acceleration,A,CPU_FPGA_FALLBACK,REC-27F112DB592D26A2,arxiv,2504.17376,https://arxiv.org/abs/2504.17376v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2504.17376v1.pdf#cache_filename=2504.17376v1.pdf;cache_sha256=9598e3dae377a1c5e9549f9008db106b08a36a47dd84f365ac2bb664527967c9;locator=pages-1-5_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-6242F1E077C405BE,EdgeLLM: A Highly Efficient CPU-FPGA Heterogeneous Edge Accelerator for Large Language Models,A,CPU_FPGA_FALLBACK,REC-B4C13EE048139933,arxiv,2407.21325,https://arxiv.org/abs/2407.21325v2,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2407.21325v2.pdf#cache_filename=2407.21325v2.pdf;cache_sha256=fedc5f501a766cde554f1ba62dfb6a77ebe65e555289c00e63c7d2aea4197099;locator=pages-1-14_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-6B691A2E44900498,PD-Swap: Prefill-Decode Logic Swapping for End-to-End LLM Inference on Edge FPGAs via Dynamic Partial Reconfiguration,A,DATAFLOW,REC-795EC13A60CA2881,arxiv,2512.11550,https://arxiv.org/abs/2512.11550v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2512.11550v1.pdf#cache_filename=2512.11550v1.pdf;cache_sha256=30a6b838fa8f0850f4ba96fe00df2edb992e4caf783cf349b2a0cdd20b874937;locator=pages-1-7_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":200}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-7E3A5FA298AD6A6F,MEADOW: Memory-efficient Dataflow and Data Packing for Low Power Edge LLMs,A,DATAFLOW,REC-8038055899F288DD,arxiv,2503.11663,https://arxiv.org/abs/2503.11663v1,not_reported,,,none_reported,no_project_artifact_claim_found_in_task4_pdf_audit,https://arxiv.org/pdf/2503.11663v1.pdf#cache_filename=2503.11663v1.pdf;cache_sha256=165067f6524dd4259b5fb0a487bee7d3192440a31c032c0e7e132c5a4a7c203d;locator=pages-1-12_controlled-full-document-audit_no-qualifying-public-project-artifact-found,negative_evidence,unavailable,No attributed project artifact endpoint to inspect,,[],{},"[""arxiv""]","{""arxiv"":429}",NO_PROJECT_ARTIFACT_REPORTED,No project artifact URL was attributed by the frozen paper audit
PF-7FF210B343FEAC43,FlightLLM: Efficient Large Language Model Inference with a Complete Mapping Flow on FPGAs,A,PARAMETERIZED_RTL,REC-9DD301C82F69C383,arxiv,2401.03868,https://arxiv.org/abs/2401.03868v2,paper_reported_available,https://doi.org/10.5281/zenodo.10422477,https://doi.org/10.5281/zenodo.10422477,zenodo_deposit,paper_reported_project_artifact,https://arxiv.org/pdf/2401.03868v2.pdf#cache_filename=2401.03868v2.pdf;cache_sha256=e0d38c8754516973d62749c846ebe63ea3984b569a1613b98340ef13249fd4da;locator=page-2_section-Footnote-1_phrase-Artifact-is-available,observed,detected,Zenodo record API licence: mit-license,,"[""10.5281/zenodo.10422477""]","{""record"":{""failure_code"":"""",""http_status"":200,""raw_response_path"":""responses/zenodo/19f09e16466d9bcc9442e69b70f082e079eb5a6a349e4c225943c8366ac8a331.body"",""request_identifier"":""10.5281/zenodo.10422477"",""response_sha256"":""e33b129691e81eabfe10496d7486bfdb2e6d5977fc1d2f6f4a3fa0cd36270df3"",""source"":""zenodo_api""}}","[""arxiv""]","{""arxiv"":429}",NONE,Zenodo record API evidence only; deposit files were not downloaded or executed
