project_family_id,primary_work_id,work_id,is_primary_work,preferred_record_id,record_ids_json,title,level_final,route_family,family_grouping_basis,evidence_sources_json
PF-3892C944A05A6E62,WORK-24598D19210758BA,WORK-24598D19210758BA,True,REC-25D1D3FB6640874F,"[""REC-25D1D3FB6640874F""]","HeteroViT: A Versatile Single-Layer Vision Transformer Concept, Co-Designed for Distributed Real-Time Data Reduction on Scientific Detectors",D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-25D1D3FB6640874F:title+abstract""]"
PF-395B3785BCC570A3,WORK-7866FC6789A8D4E4,WORK-7866FC6789A8D4E4,True,REC-45D346345BCBEE33,"[""REC-45D346345BCBEE33""]",Hardware Accelerator for Multi-Head Attention and Position-Wise Feed-Forward in the Transformer,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-45D346345BCBEE33:title+abstract""]"
PF-3DBBE522B68ECE13,WORK-1088AF5881ECBED8,WORK-1088AF5881ECBED8,True,REC-6099EE66504F6EF2,"[""REC-6099EE66504F6EF2""]",Low Latency Transformer Inference on FPGAs for Physics Applications with hls4ml,C,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-6099EE66504F6EF2:title+abstract""]"
PF-3F53C7B76FD59E5C,WORK-F7BB1C315C9513CA,WORK-F7BB1C315C9513CA,True,REC-89287D342E6CE922,"[""REC-89287D342E6CE922""]",DNNVM : End-to-End Compiler Leveraging Heterogeneous Optimizations on FPGA-based CNN Accelerators,C,OVERLAY,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-89287D342E6CE922:title+abstract""]"
PF-3F8348BAC8EEAC79,WORK-8BB80F97035C469D,WORK-8BB80F97035C469D,True,REC-478BAE4ECE99CA8F,"[""REC-478BAE4ECE99CA8F""]",Technical Report about Tiramisu: a Three-Layered Abstraction for Hiding Hardware Complexity from DSL Compilers,C,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-478BAE4ECE99CA8F:title+abstract""]"
PF-401D31E2E86CFDAE,WORK-084846F91CFBBCB6,WORK-084846F91CFBBCB6,True,REC-77F2744384901A06,"[""REC-77F2744384901A06""]",HTCC: Haskell to Handel-C Compiler,C,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-77F2744384901A06:title+abstract""]"
PF-40340776F6A61628,WORK-5BE94FE918019CC7,WORK-5BE94FE918019CC7,True,REC-9EEECBE6F301F9A2,"[""REC-9EEECBE6F301F9A2""]",TerEffic: Highly Efficient Ternary LLM Inference on FPGA,A,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-9EEECBE6F301F9A2:title+abstract""]"
PF-40378684CAF73E4E,WORK-5364CB92405D533B,WORK-5364CB92405D533B,True,REC-F73FEC8CDF1AD512,"[""REC-F73FEC8CDF1AD512""]",SparkCL: A Unified Programming Framework for Accelerators on Heterogeneous Clusters,C,CPU_FPGA_FALLBACK,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-F73FEC8CDF1AD512:title+abstract;LLM-inference-on-FPGA-papers/papers/1505.01120v1.pdf#text-search=\""binary execution flow needed to support FPGAs\""""]"
PF-409E247500F4F0CB,WORK-7578E0474097F144,WORK-7578E0474097F144,True,REC-0D2FAB7474469C66,"[""REC-0D2FAB7474469C66""]",Building Reliable Arithmetic Multipliers Under NBTI Aging and Process Variations,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-0D2FAB7474469C66:title+abstract;LLM-inference-on-FPGA-papers/papers/2605.18444v1.pdf#text-search=\""Cadence simulations\""""]"
PF-42AA6EAD0B8AD86E,WORK-8AF4153EE2C14AC4,WORK-8AF4153EE2C14AC4,True,REC-7A1FA14A8DCA183B,"[""REC-7A1FA14A8DCA183B""]",Sub-microsecond Transformers for Jet Tagging on FPGAs,C,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-7A1FA14A8DCA183B:title+abstract""]"
PF-43880CA19D6FB09D,WORK-16BE8A0343541715,WORK-16BE8A0343541715,True,REC-D5344767957D09B6,"[""REC-D5344767957D09B6""]",TensorLib: A Spatial Accelerator Generation Framework for Tensor Algebra,C,PARAMETERIZED_RTL,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-D5344767957D09B6:title+abstract""]"
PF-43B5EF1495E5C429,WORK-A6EAA22E56A14119,WORK-A6EAA22E56A14119,True,REC-507EEB2F277BB4EB,"[""REC-507EEB2F277BB4EB""]",A Novel Interactive-Guided Differential Testing Approach for FPGA Simulation Debugger Tools,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-507EEB2F277BB4EB:title+abstract;LLM-inference-on-FPGA-papers/papers/2503.01138v1.pdf#text-search=\""release the source code and datasets of DB-Hunter\""""]"
PF-44F98AB9EA55AE39,WORK-57186C588B1F789D,WORK-57186C588B1F789D,True,REC-3D1B48A36A1C29EF,"[""REC-3D1B48A36A1C29EF""]",Feature Map Transform Coding for Energy-Efficient CNN Inference,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-3D1B48A36A1C29EF:title+abstract""]"
PF-49358989E06B35B4,WORK-7716359A1AFFF134,WORK-7716359A1AFFF134,True,REC-04D1F7D833DB856C,"[""REC-04D1F7D833DB856C""]",Ultra Memory-Efficient On-FPGA Training of Transformers via Tensor-Compressed Optimization,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-04D1F7D833DB856C:title+abstract""]"
PF-493ECBA6E3575374,WORK-70C42CB787DC11F4,WORK-70C42CB787DC11F4,True,REC-6304EAE6041C2B77,"[""REC-6304EAE6041C2B77""]",CoQMoE: Co-Designed Quantization and Computation Orchestration for Mixture-of-Experts Vision Transformer on FPGA,B,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-6304EAE6041C2B77:title+abstract""]"
PF-4C8388F5435CC30A,WORK-9BB87D81581CB10A,WORK-9BB87D81581CB10A,True,REC-3570BA8F2CBFC43F,"[""REC-3570BA8F2CBFC43F""]",Domain-Specific Acceleration and Auto-Parallelization of Legacy Scientific Code in FORTRAN 77 using Source-to-Source Compilation,D,,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-3570BA8F2CBFC43F:title+abstract;LLM-inference-on-FPGA-papers/papers/1711.04471v1.pdf#text-search=\""complete OpenCL-enabled code base\""""]"
PF-4EBDD47F47E94583,WORK-E10D2BD8734A5A86,WORK-E10D2BD8734A5A86,True,REC-55C6CBE6658E4D6D,"[""REC-55C6CBE6658E4D6D""]",Automating Versatile Time-Series Analysis with Tiny Transformers on Embedded FPGAs,C,PARAMETERIZED_RTL,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-55C6CBE6658E4D6D:title+abstract""]"
PF-5168C31B9C2E442E,WORK-200199F16387DE63,WORK-200199F16387DE63,True,REC-21E9ADD61448834C,"[""REC-21E9ADD61448834C"",""REC-5C037721F00D95E3""]",SkipOPU: An FPGA-based Overlay Processor for Large Language Models with Dynamically Allocated Computation,B,OVERLAY,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-21E9ADD61448834C:title+abstract"",""survey/build/phase1_mapping.csv#record_id=REC-5C037721F00D95E3:title+abstract""]"
PF-52A5A896CDEFF78D,WORK-7081D6F93A40D169,WORK-7081D6F93A40D169,True,REC-F7C40BB06A37B794,"[""REC-F7C40BB06A37B794""]",FlexLLM: Composable HLS Library for Flexible Hybrid LLM Accelerator Design,A,HLS,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-F7C40BB06A37B794:title+abstract""]"
PF-5345A35EEB976D35,WORK-543487817DE55ABF,WORK-543487817DE55ABF,True,REC-6FA4AA8C0ADE1CF7,"[""REC-6FA4AA8C0ADE1CF7""]",FastMamba: A High-Speed and Efficient Mamba Accelerator on FPGA with Accurate Quantization,A,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-6FA4AA8C0ADE1CF7:title+abstract""]"
PF-534E866DD58A4F54,WORK-ABC385BEAF195807,WORK-ABC385BEAF195807,True,REC-0ED11F871A636313,"[""REC-0ED11F871A636313""]",MetaML: Automating Customizable Cross-Stage Design-Flow for Deep Learning Acceleration,C,DATAFLOW,single_work_family; no explicit cross-work release or extension evidence,"[""survey/build/phase1_mapping.csv#record_id=REC-0ED11F871A636313:title+abstract""]"
