ordinal,project,stage,status,evidence_kind,evidence_location,rationale
14,Allo,Resource sharing and scheduling,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
15,Allo,Backpressure and deadlock handling,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
16,Allo,Weight-loading interface,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
17,Allo,AXI/stream/memory interface generation,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
18,Allo,Synthesizable memory inference,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
19,Allo,Clock/reset generation,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
20,Allo,FPGA-family technology mapping,missing,source_closure_audit,survey/compatibility/R4-mlir-hls/README.md#lines=1-16; survey/build/repository_audit.csv#repository_audit_id=REPO-PF-86FE8DBFB50CB04C,"The audited general Allo tree is Apache-2.0, but the exact LLM artifact is a future-release claim. No stage-specific result is reproduced here."
1,Olympus,PyTorch model capture,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
2,Olympus,Dynamic-to-static shape specialization,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
3,Olympus,Tensor-to-buffer conversion,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
4,Olympus,Quantized/fixed-point type legalization,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
5,Olympus,MatMul tiling and data reuse,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
6,Olympus,Attention/QKV fusion,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
7,Olympus,Causal masking,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
8,Olympus,Softmax approximation,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
9,Olympus,LayerNorm/RMSNorm lowering,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
10,Olympus,GELU/SiLU approximation,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
11,Olympus,RoPE lowering,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
12,Olympus,KV-cache state and addressing,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
13,Olympus,Buffer banking and memory-port assignment,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
14,Olympus,Resource sharing and scheduling,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
15,Olympus,Backpressure and deadlock handling,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
16,Olympus,Weight-loading interface,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
17,Olympus,AXI/stream/memory interface generation,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
18,Olympus,Synthesizable memory inference,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
19,Olympus,Clock/reset generation,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
20,Olympus,FPGA-family technology mapping,missing,paper_and_artifact_audit,survey/build/deep_review.csv#project_family_id=PF-5423EA8E2FD4952E; survey/build/artifact_inventory.csv#project_family_id=PF-5423EA8E2FD4952E,"The deep review describes MLIR platform transformations, but no causal-LM implementation or attributed project artifact was available for a stage-specific claim."
