record_index,record_id,work_id,title,auto_level,screen_priority_score,final_level,exclusion_code,reviewer,review_basis,evidence_location,decision_notes,preferred_record_id,is_preferred_manifestation,dedup_rule,preferred_manifestation_rationale
14,REC-8B22D9D0AE96DE69,WORK-46BBD6616D6EA0B8,Energy Efficient Telemonitoring of Physiological Signals via Compressed Sensing: A Fast Algorithm and Power Consumption Evaluation,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-8B22D9D0AE96DE69:title+abstract,"The abstract centers on an unrelated workload (Wireless telemonitoring of physiological signals is an important topic in eHealth) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-8B22D9D0AE96DE69,True,unique,latest non-withdrawn preprint
15,REC-D0A5C080D9A7A8BB,WORK-79264B9AF0A38F19,A Scalable Hybrid FPGA/GPU FX Correlator,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D0A5C080D9A7A8BB:title+abstract,"The abstract centers on an unrelated workload (Radio astronomical imaging arrays comprising large numbers of antennas, O(10^2-10^3) have posed a signal processing challenge because of the required…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-D0A5C080D9A7A8BB,True,unique,latest non-withdrawn preprint
16,REC-74F02CC1F5FFC6ED,WORK-3849E7C749FEF405,Open Cores for Digital Signal Processing,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-74F02CC1F5FFC6ED:title+abstract,"The abstract centers on an unrelated workload (This paper presents the design and implementation of three System on Chip (SoC) cores, which implement the Digital Signal Processing…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-74F02CC1F5FFC6ED,True,unique,latest non-withdrawn preprint
17,REC-F7672CF25143AE27,WORK-57D4B07D624064E0,Design space exploration for image processing architectures on FPGA targets,X,1,X,X_SECONDARY,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-F7672CF25143AE27:title+abstract,The abstract calls itself an elaborate review of FPGA image-processing transformations rather than a primary LM or hardware-generation contribution.,REC-F7672CF25143AE27,True,unique,latest non-withdrawn preprint
18,REC-268040C167BF9193,WORK-9F7D0F2D78673D79,Multiplierless Approximate 4-point DCT VLSI Architectures for Transform Block Coding,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-268040C167BF9193:title+abstract,"The abstract centers on an unrelated workload (Two multiplierless algorithms are proposed for 4x4 approximate-DCT for transform coding in digital video) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-268040C167BF9193,True,unique,peer-reviewed manifestation; latest version breaks ties
19,REC-3C23A5B385B56748,WORK-4B8CC808C6CC35BD,Real Time Speckle Image De-Noising,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3C23A5B385B56748:title+abstract,"The abstract centers on an unrelated workload (The paper presents real time speckle de-noising based on activity computation algorithm and wavelet transform) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-3C23A5B385B56748,True,unique,peer-reviewed manifestation; latest version breaks ties
20,REC-789E8FCA8135E770,WORK-47F5AF2465AD25BB,Front-End Board with Cyclone V as a Test High-Resolution Platform for the Auger-Beyond-2015 Front End Electronics,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-789E8FCA8135E770:title+abstract,"The abstract centers on an unrelated workload (The surface detector (SD) array of the Pierre Auger Observatory containing at present 1680 water Cherenkov detectors spread over an…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-789E8FCA8135E770,True,unique,latest non-withdrawn preprint
21,REC-C494916B77FB32D3,WORK-6847448131A463AA,Canadian Hydrogen Intensity Mapping Experiment (CHIME) Pathfinder,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-C494916B77FB32D3:title+abstract,"The abstract centers on an unrelated workload (A pathfinder version of CHIME (the Canadian Hydrogen Intensity Mapping Experiment) is currently being commissioned at the Dominion Radio Astrophysical…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-C494916B77FB32D3,True,unique,peer-reviewed manifestation; latest version breaks ties
22,REC-B995D93FB5904453,WORK-F9A4BEBEFED188E3,The Design and Implementation of an ANN-based Non-linearity Compensator of LVDT Sensor,B,8,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B995D93FB5904453:title+abstract,The abstract implements a functional-link ANN only to linearize an LVDT sensor on a Spartan-II FPGA with no transformer-relevant operator.,REC-B995D93FB5904453,True,unique,latest non-withdrawn preprint
25,REC-CF808A2F7D6515B3,WORK-D55096E28E99EC3D,Improved 8-point Approximate DCT for Image and Video Compression Requiring Only 14 Additions,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-CF808A2F7D6515B3:title+abstract,"The abstract centers on an unrelated workload (Video processing systems such as HEVC requiring low energy consumption needed for the multimedia market has lead to extensive development…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-CF808A2F7D6515B3,True,unique,peer-reviewed manifestation; latest version breaks ties
26,REC-3DCB691A456F4283,WORK-3547521F1681096D,A Discrete Tchebichef Transform Approximation for Image and Video Coding,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3DCB691A456F4283:title+abstract,"The abstract centers on an unrelated workload (In this paper, we introduce a low-complexity approximation for the discrete Tchebichef transform (DTT)) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-3DCB691A456F4283,True,unique,peer-reviewed manifestation; latest version breaks ties
27,REC-1CDB61F0CD5CAEB4,WORK-644D0D827AFACE07,A Row-parallel 8$\times$8 2-D DCT Architecture Using Algebraic Integer Based Exact Computation,D,7,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-1CDB61F0CD5CAEB4:title+abstract,The abstract implements only an exact 2-D DCT for video processing and exposes no transformer-relevant operator or compiler route.,REC-1CDB61F0CD5CAEB4,True,unique,peer-reviewed manifestation; latest version breaks ties
28,REC-D30DB4EA311A5217,WORK-5CEE079FDD5A3B70,A Novel Architecture of Area Efficient FFT Algorithm for FPGA Implementation,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-D30DB4EA311A5217:title+abstract,"The abstract centers on an unrelated workload (Fast Fourier transform (FFT) of large number of samples requires huge hardware resources of field programmable gate arrays (FPGA), which…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-D30DB4EA311A5217,True,unique,latest non-withdrawn preprint
30,REC-24BB9609714294BE,WORK-E11CCBCA0B95FDBC,Computational Cost Reduction in Learned Transform Classifications,X,2,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-24BB9609714294BE:title+abstract,"The abstract centers on an unrelated workload (We present a theoretical analysis and empirical evaluations of a novel set of techniques for computational cost reduction of classifiers…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-24BB9609714294BE,True,unique,latest non-withdrawn preprint
33,REC-6D2573B50D47CD83,WORK-41C446CC1756DE0B,High Speed VLSI Architecture for 3-D Discrete Wavelet Transform,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-6D2573B50D47CD83:title+abstract,"The abstract centers on an unrelated workload (This paper presents a memory efficient, high throughput parallel lifting based running three dimensional discrete wavelet transform (3-D DWT) architecture) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-6D2573B50D47CD83,True,unique,latest non-withdrawn preprint
36,REC-9A045A7D0B1DE0CE,WORK-39F2EC446141DDC2,A Low Complexity VLSI Architecture for Multi-Focus Image Fusion in DCT Domain,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-9A045A7D0B1DE0CE:title+abstract,"The abstract centers on an unrelated workload (Due to the confined focal length of optical sensors, focusing all objects in a scene with a single sensor is…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-9A045A7D0B1DE0CE,True,unique,latest non-withdrawn preprint
37,REC-65A934FBB91EDDC4,WORK-91485AB36E2CC985,2D Discrete Fourier Transform with Simultaneous Edge Artifact Removal for Real-Time Applications,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-65A934FBB91EDDC4:title+abstract,"The abstract centers on an unrelated workload (Two-Dimensional (2D) Discrete Fourier Transform (DFT) is a basic and computationally intensive algorithm, with a vast variety of applications) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-65A934FBB91EDDC4,True,unique,peer-reviewed manifestation; latest version breaks ties
38,REC-FA096E95A0E3F88E,WORK-85D86140967BBC98,An Orthogonal 16-point Approximate DCT for Image and Video Compression,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-FA096E95A0E3F88E:title+abstract,"The abstract centers on an unrelated workload (A low-complexity orthogonal multiplierless approximation for the 16-point discrete cosine transform (DCT) was introduced) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-FA096E95A0E3F88E,True,unique,peer-reviewed manifestation; latest version breaks ties
40,REC-DCFC6B023D9EF9F8,WORK-0D9869A0E3DDBEEE,Multiplierless 16-point DCT Approximation for Low-complexity Image and Video Coding,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-DCFC6B023D9EF9F8:title+abstract,"The abstract centers on an unrelated workload (An orthogonal 16-point approximate discrete cosine transform (DCT) is introduced) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-DCFC6B023D9EF9F8,True,unique,peer-reviewed manifestation; latest version breaks ties
41,REC-24048AD2630EDCFD,WORK-F65CA2011450E578,DiaSys: Improving SoC Insight Through On-Chip Diagnosis,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-24048AD2630EDCFD:title+abstract,"The abstract centers on an unrelated workload (To find the cause of a functional or non-functional defect (bug) in software running on a multi-processor System-on-Chip (MPSoC), developers…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-24048AD2630EDCFD,True,unique,peer-reviewed manifestation; latest version breaks ties
42,REC-366778764662CFF9,WORK-03251B78F491CCFF,Inter-Technology Backscatter: Towards Internet Connectivity for Implanted Devices,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-366778764662CFF9:title+abstract,"The abstract centers on an unrelated workload (We introduce inter-technology backscatter, a novel approach that transforms wireless transmissions from one technology to another, on the air) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-366778764662CFF9,True,unique,latest non-withdrawn preprint
43,REC-975D4F11BDBF4844,WORK-B7D7F41F7493E435,Low-complexity Image and Video Coding Based on an Approximate Discrete Tchebichef Transform,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-975D4F11BDBF4844:title+abstract,"The abstract centers on an unrelated workload (The usage of linear transformations has great relevance for data decorrelation applications, like image and video compression) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-975D4F11BDBF4844,True,unique,peer-reviewed manifestation; latest version breaks ties
45,REC-91117B7563F9179D,WORK-62CB49C624CDF206,FPGA Implementation of High Speed Reconfigurable Filter Bank for Multi-standard Wireless Communication Receivers,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-91117B7563F9179D:title+abstract,"The abstract centers on an unrelated workload (In next generation wireless communication system, wireless transceivers should be able to handle wideband input signals compromising of multiple communication…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-91117B7563F9179D,True,unique,latest non-withdrawn preprint
47,REC-88300383F39A1E30,WORK-E258A97C5BBB6BAA,Energy-efficient 8-point DCT Approximations: Theory and Hardware Architectures,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-88300383F39A1E30:title+abstract,"The abstract centers on an unrelated workload (Due to its remarkable energy compaction properties, the discrete cosine transform (DCT) is employed in a multitude of compression standards,…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-88300383F39A1E30,True,unique,peer-reviewed manifestation; latest version breaks ties
48,REC-B4570AD5B3B50DDC,WORK-D753040CEE84934B,Efficient Realization of Householder Transform through Algorithm-Architecture Co-design for Acceleration of QR Factorization,D,7,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-B4570AD5B3B50DDC:title+abstract,The abstract accelerates Householder QR factorization on a reconfigurable datapath and provides no direct transformer inference contribution.,REC-B4570AD5B3B50DDC,True,unique,peer-reviewed manifestation; latest version breaks ties
49,REC-F88C6066A8140556,WORK-12F868132D84C877,An OpenCL(TM) Deep Learning Accelerator on Arria 10,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-F88C6066A8140556:title+abstract,"The abstract centers on an unrelated workload (Convolutional neural nets (CNNs) have become a practical means to perform vision tasks, particularly in the area of image classification) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-F88C6066A8140556,True,unique,latest non-withdrawn preprint
50,REC-7E30A752F924F93D,WORK-D02DA0E7FF39EC9C,A Digital Hardware Fast Algorithm and FPGA-based Prototype for a Novel 16-point Approximate DCT for Image Compression Applications,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-7E30A752F924F93D:title+abstract,"The abstract centers on an unrelated workload (The discrete cosine transform (DCT) is the key step in many image and video coding standards) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-7E30A752F924F93D,True,unique,peer-reviewed manifestation; latest version breaks ties
52,REC-3D12045BD8FEDC90,WORK-8DD6558656ACBA05,Overcurrent Protection for Gyrotrons in EAST ECRH System,B,8,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-3D12045BD8FEDC90:title+abstract,The abstract uses an antifuse FPGA solely for gyrotron overcurrent protection and contains no machine-learning inference contribution.,REC-3D12045BD8FEDC90,True,unique,peer-reviewed manifestation; latest version breaks ties
53,REC-805602F7D1C60B60,WORK-F9C3FAB92E404FF2,OCTAD-S: Digital Fast Fourier Transform Spectrometers by FPGA,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-805602F7D1C60B60:title+abstract,"The abstract centers on an unrelated workload (We have developed a digital fast Fourier transform (FFT) spectrometer made of an analog-to-digital converter (ADC) and a field-programmable gate…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-805602F7D1C60B60,True,unique,peer-reviewed manifestation; latest version breaks ties
54,REC-49F3AB6C20566E0A,WORK-3CDFC4FB79A17CE0,Dense Disparity Estimation in Ego-motion Reduced Search Space,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-49F3AB6C20566E0A:title+abstract,"The abstract centers on an unrelated workload (Depth estimation from stereo images remains a challenge even though studied for decades) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-49F3AB6C20566E0A,True,unique,latest non-withdrawn preprint
56,REC-6B8F0EBD4ABBF3A2,WORK-E487237F3935193E,The UTMOST: A hybrid digital signal processor transforms the MOST,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-6B8F0EBD4ABBF3A2:title+abstract,"The abstract centers on an unrelated workload (The Molonglo Observatory Synthesis Telescope (MOST) is an 18,000 square meter radio telescope situated some 40 km from the city…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-6B8F0EBD4ABBF3A2,True,unique,peer-reviewed manifestation; latest version breaks ties
57,REC-0328D92B8D7AB525,WORK-5375E0878CA96251,Online Data Reduction for the Belle II Experiment using DATCON,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-0328D92B8D7AB525:title+abstract,"The abstract centers on an unrelated workload (The new Belle II experiment at the asymmetric $e^+ e^-$ accelerator SuperKEKB at KEK in Japan is designed to deliver…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-0328D92B8D7AB525,True,unique,peer-reviewed manifestation; latest version breaks ties
58,REC-380484F40BC5E6D9,WORK-371252DF9447C812,A Single-Channel Architecture for Algebraic Integer Based 8$\times$8 2-D DCT Computation,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-380484F40BC5E6D9:title+abstract,"The abstract centers on an unrelated workload (An area efficient row-parallel architecture is proposed for the real-time implementation of bivariate algebraic integer (AI) encoded 2-D discrete cosine…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-380484F40BC5E6D9,True,unique,peer-reviewed manifestation; latest version breaks ties
60,REC-BB06084936167C6D,WORK-3B88C583AF93E270,VLSI Computational Architectures for the Arithmetic Cosine Transform,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-BB06084936167C6D:title+abstract,"The abstract centers on an unrelated workload (The discrete cosine transform (DCT) is a widely-used and important signal processing tool employed in a plethora of applications) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-BB06084936167C6D,True,unique,peer-reviewed manifestation; latest version breaks ties
68,REC-2A1F549319EB2EEB,WORK-5D851E6C82923FAD,Segmented Successive Cancellation List Polar Decoding with Tailored CRC,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-2A1F549319EB2EEB:title+abstract,"The abstract centers on an unrelated workload (As the first error correction codes provably achieving the symmetric capacity of binary-input discrete memory-less channels (B-DMCs), polar codes have…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-2A1F549319EB2EEB,True,unique,latest non-withdrawn preprint
69,REC-1C2BC4282AF1A5AD,WORK-08C70DB9C38C8FD7,Hardware Implementation of a Fast Algorithm for the Reconstruction of Muon Tracks in ATLAS Muon Drift-Tube Chambers for the First-Level Muon Trigger at the HL-LHC,X,5,X,X_NON_LM_MODEL,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-1C2BC4282AF1A5AD:title+abstract,"The abstract centers on an unrelated workload (The High-Luminosity LHC will provide the unique opportunity to explore the nature of physics beyond the Standard Model of strong…) and gives no transformer/LM-relevant compiler, operator, or architecture evidence.",REC-1C2BC4282AF1A5AD,True,unique,peer-reviewed manifestation; latest version breaks ties
72,REC-95E67C186BC2B316,WORK-EFDC36E8E07E67A9,Exploring Hyper-Parameter Optimization for Neural Machine Translation on GPU Architectures,X,2,X,X_TRAINING_ONLY,codex-title-abstract-screen,title_abstract,survey/build/phase1_mapping.csv#record_id=REC-95E67C186BC2B316:title+abstract,"The abstract centers on training or training-data preparation (Neural machine translation (NMT) has been accelerated by deep learning neural networks over statistical-based approaches, due to the plethora and…) and supplies no transferable FPGA inference implementation.",REC-95E67C186BC2B316,True,unique,latest non-withdrawn preprint
