arxiv_id,base_arxiv_id,title,realistically_reusable,top_route_candidates,llm_relevance_hits,llm_relevance_score,mlir_circt_level,hls_level,overlay_level,param_rtl_level,dataflow_level,cpu_fpga_fallback_level,pdf_status,pdf_path,pdf_pages
1607.04549v2,1607.04549,DiaSys: Improving SoC Insight Through On-Chip Diagnosis,high,cpu_fpga_fallback:high;dataflow:low,decode,0.09,none,none,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/1607.04549v2.pdf,14
1607.04663v1,1607.04663,Inter-Technology Backscatter: Towards Internet Connectivity for Implanted Devices,medium,param_rtl:medium;cpu_fpga_fallback:low,decode,0.09,none,none,none,medium,none,low,ok,LLM-inference-on-FPGA-papers/papers/1607.04663v1.pdf,15
1609.07630v4,1609.07630,Low-complexity Image and Video Coding Based on an Approximate Discrete Tchebichef Transform,medium,mlir_circt:medium;dataflow:low;cpu_fpga_fallback:low,decode,0.09,medium,none,none,none,low,low,ok,LLM-inference-on-FPGA-papers/papers/1609.07630v4.pdf,11
1609.07750v1,1609.07750,Accurate and Efficient Hyperbolic Tangent Activation Function on FPGA using the DCT Interpolation Filter,medium,cpu_fpga_fallback:medium,decode,0.09,none,none,none,none,none,medium,ok,LLM-inference-on-FPGA-papers/papers/1609.07750v1.pdf,8
1610.00552v1,1610.00552,FPGA-Based Low-Power Speech Recognition with Recurrent Neural Networks,high,cpu_fpga_fallback:high,decode;inference,0.18,none,none,none,none,none,high,ok,LLM-inference-on-FPGA-papers/papers/1610.00552v1.pdf,7
1701.03534v1,1701.03534,An OpenCL(TM) Deep Learning Accelerator on Arria 10,high,cpu_fpga_fallback:high;dataflow:medium,attention;inference,0.18,none,none,none,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/1701.03534v1.pdf,10
1705.04543v3,1705.04543,Hardware Automated Dataflow Deployment of CNNs,high,param_rtl:high;dataflow:high;cpu_fpga_fallback:high,token;inference,0.18,low,medium,none,high,high,high,ok,LLM-inference-on-FPGA-papers/papers/1705.04543v3.pdf,17
1706.08863v1,1706.08863,OCTAD-S: Digital Fast Fourier Transform Spectrometers by FPGA,medium,cpu_fpga_fallback:medium;dataflow:low,decode,0.09,none,none,none,none,low,medium,ok,LLM-inference-on-FPGA-papers/papers/1706.08863v1.pdf,20
1708.08917v1,1708.08917,CirCNN: Accelerating and Compressing Deep Neural Networks Using Block-CirculantWeight Matrices,medium,dataflow:medium;cpu_fpga_fallback:medium;param_rtl:low,decode;inference,0.18,low,none,low,low,medium,medium,ok,LLM-inference-on-FPGA-papers/papers/1708.08917v1.pdf,14
1710.11200v1,1710.11200,VLSI Computational Architectures for the Arithmetic Cosine Transform,medium,dataflow:medium;param_rtl:low;cpu_fpga_fallback:low, llm;attention,0.18,none,none,none,low,medium,low,ok,LLM-inference-on-FPGA-papers/papers/1710.11200v1.pdf,8
1711.08740v1,1711.08740,fpgaConvNet: A Toolflow for Mapping Diverse Convolutional Neural Networks on Embedded FPGAs,high,dataflow:high;cpu_fpga_fallback:high;mlir_circt:low,inference,0.09,low,none,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/1711.08740v1.pdf,5
1712.03411v1,1712.03411,FPGA with Improved Routability and Robustness in 130nm CMOS with Open-Source CAD Targetability,medium,cpu_fpga_fallback:medium;param_rtl:low;overlay:low,decode,0.09,none,low,low,low,none,medium,ok,LLM-inference-on-FPGA-papers/papers/1712.03411v1.pdf,4
1712.04322v1,1712.04322,Tactics to Directly Map CNN graphs on Embedded FPGAs,high,param_rtl:high;dataflow:medium;cpu_fpga_fallback:low,inference,0.09,none,none,none,high,medium,low,ok,LLM-inference-on-FPGA-papers/papers/1712.04322v1.pdf,7
1801.06541v1,1801.06541,HGum: Messaging Framework for Hardware Accelerators,medium,param_rtl:medium;dataflow:medium;cpu_fpga_fallback:medium,token;decode,0.18,none,none,low,medium,medium,medium,ok,LLM-inference-on-FPGA-papers/papers/1801.06541v1.pdf,8
1803.00521v2,1803.00521,Segmented Successive Cancellation List Polar Decoding with Tailored CRC,medium,cpu_fpga_fallback:medium,decode,0.09,none,none,none,none,none,medium,ok,LLM-inference-on-FPGA-papers/papers/1803.00521v2.pdf,14
1803.06305v1,1803.06305,C-LSTM: Enabling Efficient LSTM using Structured Compression Techniques on FPGAs,high,cpu_fpga_fallback:high;hls:high;dataflow:medium,decode;inference,0.18,low,high,none,low,medium,high,ok,LLM-inference-on-FPGA-papers/papers/1803.06305v1.pdf,10
1803.09004v1,1803.09004,Face Recognition with Hybrid Efficient Convolution Algorithms on FPGAs,high,hls:high;cpu_fpga_fallback:high;dataflow:low,inference,0.09,none,high,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/1803.09004v1.pdf,7
1805.02094v2,1805.02094,Exploring Hyper-Parameter Optimization for Neural Machine Translation on GPU Architectures,high,cpu_fpga_fallback:high;mlir_circt:low,transformer;attention;token;decode,0.36,low,none,none,none,none,high,ok,LLM-inference-on-FPGA-papers/papers/1805.02094v2.pdf,12
1808.02950v2,1808.02950,Low-complexity 8-point DCT Approximation Based on Angle Similarity for Image and Video Coding,high,cpu_fpga_fallback:high,attention,0.09,none,none,none,none,none,high,ok,LLM-inference-on-FPGA-papers/papers/1808.02950v2.pdf,16
1809.07683v1,1809.07683,"AutoAccel: Automated Accelerator Generation and Optimization with Composable, Parallel and Pipeline Architecture",high,dataflow:high;cpu_fpga_fallback:high;hls:high,attention,0.09,low,high,low,medium,high,high,ok,LLM-inference-on-FPGA-papers/papers/1809.07683v1.pdf,12
1811.10126v1,1811.10126,Artificial Retina Using A Hybrid Neural Network With Spatial Transform Capability,high,cpu_fpga_fallback:high,decode,0.09,none,none,none,none,none,high,ok,LLM-inference-on-FPGA-papers/papers/1811.10126v1.pdf,16
1902.07463v2,1902.07463,DNNVM : End-to-End Compiler Leveraging Heterogeneous Optimizations on FPGA-based CNN Accelerators,high,dataflow:high;cpu_fpga_fallback:high;mlir_circt:high,transformer;attention;inference,0.27,high,high,low,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/1902.07463v2.pdf,18
1902.10345v3,1902.10345,Stateful Dataflow Multigraphs: A Data-Centric Model for Performance Portability on Heterogeneous Architectures,high,dataflow:high;cpu_fpga_fallback:high;hls:high,inference,0.09,medium,high,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/1902.10345v3.pdf,18
1903.03509v1,1903.03509,OpenCL-based FPGA accelerator for disparity map generation with stereoscopic event cameras,high,param_rtl:high;dataflow:high;cpu_fpga_fallback:high,inference,0.09,none,none,none,high,high,high,ok,LLM-inference-on-FPGA-papers/papers/1903.03509v1.pdf,9
1905.10830v3,1905.10830,Feature Map Transform Coding for Energy-Efficient CNN Inference,medium,mlir_circt:medium;cpu_fpga_fallback:medium,attention;decode;inference,0.27,medium,none,none,none,none,medium,ok,LLM-inference-on-FPGA-papers/papers/1905.10830v3.pdf,20
1907.07764v1,1907.07764,HTCC: Haskell to Handel-C Compiler,high,param_rtl:high;cpu_fpga_fallback:medium;hls:low,token;decode,0.18,none,low,none,high,none,medium,ok,LLM-inference-on-FPGA-papers/papers/1907.07764v1.pdf,8
1907.07929v5,1907.07929,FBLAS: Streaming Linear Algebra on FPGA,high,param_rtl:high;hls:high;dataflow:high,attention,0.09,low,high,none,high,high,high,ok,LLM-inference-on-FPGA-papers/papers/1907.07929v5.pdf,12
2002.04971v1,2002.04971,FastWave: Accelerating Autoregressive Convolutional Neural Networks on FPGA,high,cpu_fpga_fallback:high;hls:medium;overlay:low,attention;autoregressive;inference,0.27,low,medium,low,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2002.04971v1.pdf,8
2002.05645v5,2002.05645,Training Large Neural Networks with Constant Memory using a New Execution Algorithm,high,cpu_fpga_fallback:high;dataflow:low,large language model;transformer;gpt,0.27,none,none,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2002.05645v5.pdf,12
2003.06700v3,2003.06700,CoCoPIE: Making Mobile AI Sweet As PIE --Compression-Compilation Co-Design Goes a Long Way,high,cpu_fpga_fallback:high;dataflow:high;mlir_circt:low,transformer;attention;inference,0.27,low,none,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/2003.06700v3.pdf,25
2007.08563v1,2007.08563,FTRANS: Energy-Efficient Acceleration of Transformers using FPGA,high,cpu_fpga_fallback:high;hls:low;dataflow:low,transformer;attention;token;decode;inference,0.45,none,low,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2007.08563v1.pdf,7
2007.11434v3,2007.11434,A Deep Learning-Based FPGA Function Block Detection Method with Bitstream to Image Transformation,high,cpu_fpga_fallback:high;param_rtl:medium;mlir_circt:low,inference,0.09,low,none,none,medium,low,high,ok,LLM-inference-on-FPGA-papers/papers/2007.11434v3.pdf,12
2009.08605v1,2009.08605,Hardware Accelerator for Multi-Head Attention and Position-Wise Feed-Forward in the Transformer,medium,cpu_fpga_fallback:medium;param_rtl:low;mlir_circt:low,transformer;attention;decode;inference,0.36,low,none,none,low,low,medium,ok,LLM-inference-on-FPGA-papers/papers/2009.08605v1.pdf,6
2009.09736v1,2009.09736,NetReduce: RDMA-Compatible In-Network Reduction for Distributed DNN Training Acceleration,high,cpu_fpga_fallback:high;dataflow:medium;mlir_circt:low,transformer;gpt,0.18,low,none,none,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2009.09736v1.pdf,15
2010.07746v1,2010.07746,Real-Time Refocusing using an FPGA-based Standard Plenoptic Camera,high,dataflow:high;param_rtl:medium;cpu_fpga_fallback:medium,attention;decode,0.18,none,none,none,medium,high,medium,ok,LLM-inference-on-FPGA-papers/papers/2010.07746v1.pdf,10
2011.05670v1,2011.05670,FPGA: Fast Patch-Free Global Learning Framework for Fully End-to-End Hyperspectral Image Classification,medium,cpu_fpga_fallback:medium;mlir_circt:low;dataflow:low,attention;decode;inference,0.27,low,none,none,none,low,medium,ok,LLM-inference-on-FPGA-papers/papers/2011.05670v1.pdf,16
2101.05314v1,2101.05314,EXMA: A Genomics Accelerator for Exact-Matching,high,cpu_fpga_fallback:high;dataflow:medium;overlay:low,inference,0.09,none,none,low,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2101.05314v1.pdf,13
2103.02800v1,2103.02800,Hardware Acceleration of Fully Quantized BERT for Efficient Natural Language Processing,high,hls:high;cpu_fpga_fallback:high;param_rtl:medium,transformer;attention;decode;inference,0.36,low,high,none,medium,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2103.02800v1.pdf,4
2104.00252v1,2104.00252,Observational demonstration of a low-cost fast Fourier transform spectrometer with a delay-line-based ramp-compare ADC implemented on FPGA,medium,cpu_fpga_fallback:medium,decode,0.09,none,none,none,none,none,medium,ok,LLM-inference-on-FPGA-papers/papers/2104.00252v1.pdf,21
2104.06535v1,2104.06535,NPE: An FPGA-based Overlay Processor for Natural Language Processing,high,cpu_fpga_fallback:high;overlay:medium;dataflow:low,transformer;attention;token;decode;inference,0.45,none,none,medium,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2104.06535v1.pdf,11
2104.12339v1,2104.12339,TensorLib: A Spatial Accelerator Generation Framework for Tensor Algebra,high,dataflow:high;cpu_fpga_fallback:high;param_rtl:medium,inference,0.09,medium,medium,none,medium,high,high,ok,LLM-inference-on-FPGA-papers/papers/2104.12339v1.pdf,6
2105.05530v1,2105.05530,Winograd Algorithm for AdderNet,high,cpu_fpga_fallback:high;dataflow:low,attention;inference,0.18,none,none,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2105.05530v1.pdf,9
2108.00874v2,2108.00874,Few-Shot Domain Adaptation For End-to-End Communication,medium,mlir_circt:medium;cpu_fpga_fallback:low,decode,0.09,medium,none,none,none,none,low,ok,LLM-inference-on-FPGA-papers/papers/2108.00874v2.pdf,32
2109.02484v1,2109.02484,Compiler-Driven FPGA Virtualization with SYNERGY,high,cpu_fpga_fallback:high;param_rtl:high;overlay:high,attention;decode;inference,0.27,low,medium,high,high,high,high,ok,LLM-inference-on-FPGA-papers/papers/2109.02484v1.pdf,14
2109.14349v2,2109.14349,Relational Memory: Native In-Memory Accesses on Rows and Columns,high,cpu_fpga_fallback:high;dataflow:medium;overlay:low,transformer,0.09,none,none,low,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2109.14349v2.pdf,14
2109.14704v1,2109.14704,Accelerating Encrypted Computing on Intel GPUs,high,cpu_fpga_fallback:high;overlay:medium;mlir_circt:low,decode;inference,0.18,low,low,medium,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2109.14704v1.pdf,12
2110.06155v1,2110.06155,Memory-Efficient CNN Accelerator Based on Interlayer Feature Map Compression,high,cpu_fpga_fallback:high;dataflow:high;mlir_circt:low,decode;inference,0.18,low,none,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/2110.06155v1.pdf,14
2110.10030v1,2110.10030,Accelerating Framework of Transformer by Hardware Design and Model Compression Co-Optimization,high,cpu_fpga_fallback:high;hls:high;param_rtl:low,transformer;attention;decode;inference,0.36,low,high,none,low,low,high,ok,LLM-inference-on-FPGA-papers/papers/2110.10030v1.pdf,9
2110.11290v1,2110.11290,Physical Side-Channel Attacks on Embedded Neural Networks: A Survey,high,cpu_fpga_fallback:high;dataflow:medium,attention;inference,0.18,none,none,none,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2110.11290v1.pdf,25
2112.07789v1,2112.07789,FLOWER: A comprehensive dataflow compiler for high-level synthesis,high,hls:high;cpu_fpga_fallback:high;dataflow:high,inference,0.09,medium,high,none,medium,high,high,ok,LLM-inference-on-FPGA-papers/papers/2112.07789v1.pdf,9
2112.13149v1,2112.13149,Fast and Scalable Computation of the Forward and Inverse Discrete Periodic Radon Transform,high,cpu_fpga_fallback:high;dataflow:medium;param_rtl:low,attention,0.09,none,none,none,low,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2112.13149v1.pdf,16
2112.13890v2,2112.13890,SPViT: Enabling Faster Vision Transformers via Soft Token Pruning,medium,cpu_fpga_fallback:medium;mlir_circt:low;dataflow:low,transformer;attention;token;inference,0.36,low,none,none,none,low,medium,ok,LLM-inference-on-FPGA-papers/papers/2112.13890v2.pdf,29
2201.06618v2,2201.06618,VAQF: Fully Automatic Software-Hardware Co-Design Framework for Low-Bit Vision Transformer,high,cpu_fpga_fallback:high;hls:high;dataflow:high,transformer;attention;token;inference,0.36,low,high,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/2201.06618v2.pdf,10
2201.10114v2,2201.10114,PowerGear: Early-Stage Power Estimation in FPGA HLS via Heterogeneous Edge-Centric GNNs,high,cpu_fpga_fallback:high;param_rtl:medium;hls:medium,attention;inference,0.18,none,medium,none,medium,low,high,ok,LLM-inference-on-FPGA-papers/papers/2201.10114v2.pdf,6
2201.11522v2,2201.11522,High-level Synthesis using the Julia Language,high,hls:high;cpu_fpga_fallback:high;param_rtl:medium,inference,0.09,low,high,none,medium,none,high,ok,LLM-inference-on-FPGA-papers/papers/2201.11522v2.pdf,3
2202.04976v2,2202.04976,Fast Muon Tracking with Machine Learning Implemented in FPGA,high,hls:high;mlir_circt:medium;cpu_fpga_fallback:medium,inference,0.09,medium,high,none,low,low,medium,ok,LLM-inference-on-FPGA-papers/papers/2202.04976v2.pdf,9
2203.01414v3,2203.01414,ICARUS: A Specialized Architecture for Neural Radiance Fields Rendering,high,cpu_fpga_fallback:high;dataflow:medium;overlay:low,decode;inference,0.18,low,none,low,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2203.01414v3.pdf,14
2203.11295v1,2203.11295,Benchmarking Test-Time Unsupervised Deep Neural Network Adaptation on Edge Devices,high,cpu_fpga_fallback:high;mlir_circt:medium;dataflow:low,inference,0.09,medium,none,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2203.11295v1.pdf,10
2205.15062v2,2205.15062,A Transistor Operations Model for Deep Learning Energy Consumption Scaling Law,high,cpu_fpga_fallback:high;mlir_circt:low;dataflow:low,transformer;attention;gpt;inference,0.36,low,none,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2205.15062v2.pdf,15
2206.10461v1,2206.10461,An Automatic and Efficient BERT Pruning for Edge AI Systems,high,cpu_fpga_fallback:high;mlir_circt:low;dataflow:low,transformer;attention;gpt;autoregressive;decode;inference,0.55,low,none,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2206.10461v1.pdf,6
2207.03782v1,2207.03782,VidConv: A modernized 2D ConvNet for Efficient Video Recognition,high,cpu_fpga_fallback:high;mlir_circt:low,transformer;attention;inference,0.27,low,none,none,none,none,high,ok,LLM-inference-on-FPGA-papers/papers/2207.03782v1.pdf,12
2208.03646v2,2208.03646,A Length Adaptive Algorithm-Hardware Co-design of Transformer on FPGA Through Sparse Attention and Dynamic Pipelining,high,cpu_fpga_fallback:high;dataflow:medium;mlir_circt:low,transformer;attention;token;decode,0.36,low,low,none,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2208.03646v2.pdf,7
2208.05163v1,2208.05163,Auto-ViT-Acc: An FPGA-Aware Automatic Acceleration Framework for Vision Transformer with Mixed-Scheme Quantization,high,cpu_fpga_fallback:high;hls:high;dataflow:medium,transformer;attention;token;decode;inference,0.45,none,high,none,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2208.05163v1.pdf,8
2208.06118v1,2208.06118,An Algorithm-Hardware Co-Optimized Framework for Accelerating N:M Sparse Transformers,high,dataflow:high;cpu_fpga_fallback:high;param_rtl:high,transformer;attention;token;decode;inference,0.45,low,none,medium,high,high,high,ok,LLM-inference-on-FPGA-papers/papers/2208.06118v1.pdf,14
2209.03353v1,2209.03353,Learned Image Compression with Generalized Octave Convolution and Cross-Resolution Parameter Estimation,high,cpu_fpga_fallback:high;mlir_circt:low,transformer;attention;autoregressive;decode,0.36,low,none,none,none,none,high,ok,LLM-inference-on-FPGA-papers/papers/2209.03353v1.pdf,15
2209.09570v1,2209.09570,Adaptable Butterfly Accelerator for Attention-based NNs via Hardware and Algorithm Co-design,high,cpu_fpga_fallback:high;param_rtl:high;dataflow:high,transformer;attention;gpt;token;autoregressive;decode;inference,0.64,low,none,low,high,high,high,ok,LLM-inference-on-FPGA-papers/papers/2209.09570v1.pdf,17
2209.10797v1,2209.10797,DFX: A Low-latency Multi-FPGA Appliance for Accelerating Transformer-based Text Generation,high,cpu_fpga_fallback:high;dataflow:high;param_rtl:medium,transformer;attention;gpt;token;decode;inference,0.55,low,none,medium,medium,high,high,ok,LLM-inference-on-FPGA-papers/papers/2209.10797v1.pdf,15
2209.15436v1,2209.15436,"XR-RF Imaging Enabled by Software-Defined Metasurfaces and Machine Learning: Foundational Vision, Technologies and Challenges",high,cpu_fpga_fallback:high;dataflow:low,inference,0.09,none,none,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2209.15436v1.pdf,19
2210.12703v1,2210.12703,Transformations for accelerator-based quantum circuit simulation in Haskell,high,cpu_fpga_fallback:high;overlay:low;dataflow:low,decode,0.09,none,none,low,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2210.12703v1.pdf,6
2210.14793v1,2210.14793,M$^3$ViT: Mixture-of-Experts Vision Transformer for Efficient Multi-task Learning with Model-Accelerator Co-design,high,cpu_fpga_fallback:high;dataflow:low,transformer;attention;token;decode;inference,0.45,none,none,none,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2210.14793v1.pdf,20
2211.08110v2,2211.08110,HeatViT: Hardware-Efficient Adaptive Token Pruning for Vision Transformers,high,cpu_fpga_fallback:high;dataflow:high;hls:medium,transformer;attention;token;inference,0.36,none,medium,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/2211.08110v2.pdf,13
2301.01454v1,2301.01454,"Accurate, Low-latency, Efficient SAR Automatic Target Recognition on FPGA",high,cpu_fpga_fallback:high;overlay:medium;hls:medium,transformer;attention;inference,0.27,none,medium,medium,none,low,high,ok,LLM-inference-on-FPGA-papers/papers/2301.01454v1.pdf,8
2302.02959v1,2302.02959,"Rule-based High-level Hardware-RTL Synthesis of Algorithms, Virtualizing Machines, and Communication Protocols with FPGAs based on Concurrent Communicating Sequential Processes and the ConPro Synthesis Framework",high,param_rtl:high;cpu_fpga_fallback:high;hls:high,decode;inference,0.18,low,high,low,high,none,high,ok,LLM-inference-on-FPGA-papers/papers/2302.02959v1.pdf,79
2303.12901v1,2303.12901,Dynasparse: Accelerating GNN Inference through Dynamic Sparsity Exploitation,high,dataflow:high;cpu_fpga_fallback:high;param_rtl:low,inference,0.09,low,none,low,low,high,high,ok,LLM-inference-on-FPGA-papers/papers/2303.12901v1.pdf,12
2303.13601v1,2303.13601,Scaled Quantization for the Vision Transformer,medium,mlir_circt:medium;cpu_fpga_fallback:medium,transformer;attention;token;inference,0.36,medium,none,none,none,none,medium,ok,LLM-inference-on-FPGA-papers/papers/2303.13601v1.pdf,10
2304.02510v1,2304.02510,FPGA-Patch: Mitigating Remote Side-Channel Attacks on FPGAs using Dynamic Patch Generation,high,cpu_fpga_fallback:high;param_rtl:low,attention,0.09,none,none,none,low,none,high,ok,LLM-inference-on-FPGA-papers/papers/2304.02510v1.pdf,6
2305.04887v1,2305.04887,Hardware Acceleration of Explainable Artificial Intelligence,high,cpu_fpga_fallback:high;dataflow:medium;mlir_circt:low,attention;inference,0.18,low,none,none,none,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2305.04887v1.pdf,12
2305.10838v2,2305.10838,ProgSG: Cross-Modality Representation Learning for Programs in Electronic Design Automation,high,param_rtl:high;hls:medium;overlay:low,large language model;token,0.18,none,medium,low,high,none,none,unavailable_or_failed,LLM-inference-on-FPGA-papers/papers/2305.10838v2.pdf,0
2305.12824v1,2305.12824,FieldHAR: A Fully Integrated End-to-end RTL Framework for Human Activity Recognition with Neural Networks from Heterogeneous Sensors,high,param_rtl:high;cpu_fpga_fallback:high;dataflow:medium,attention;inference,0.18,low,low,none,high,medium,high,ok,LLM-inference-on-FPGA-papers/papers/2305.12824v1.pdf,9
2305.15999v1,2305.15999,An Overview of FPGA-inspired Obfuscation Techniques,high,param_rtl:high;hls:medium;cpu_fpga_fallback:medium,attention,0.09,none,medium,none,high,none,medium,ok,LLM-inference-on-FPGA-papers/papers/2305.15999v1.pdf,30
2305.18691v2,2305.18691,Edge-MoE: Memory-Efficient Multi-Task Vision Transformer Architecture with Task-level Sparsity via Mixture-of-Experts,high,cpu_fpga_fallback:high;dataflow:high;hls:high,transformer;attention;token;decode;inference,0.45,none,high,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/2305.18691v2.pdf,11
2305.19896v1,2305.19896,fpgaHART: A toolflow for throughput-oriented acceleration of 3D CNNs for HAR onto FPGAs,high,dataflow:high;hls:medium;cpu_fpga_fallback:medium,transformer;attention;inference,0.27,none,medium,none,none,high,medium,ok,LLM-inference-on-FPGA-papers/papers/2305.19896v1.pdf,7
2306.05021v2,2306.05021,Mixed-TD: Efficient Neural Network Accelerator with Layer-Specific Tensor Decomposition,high,cpu_fpga_fallback:high;dataflow:high;mlir_circt:low,transformer;inference,0.18,low,none,none,none,high,high,ok,LLM-inference-on-FPGA-papers/papers/2306.05021v2.pdf,8
2306.08746v1,2306.08746,MetaML: Automating Customizable Cross-Stage Design-Flow for Deep Learning Acceleration,high,hls:high;cpu_fpga_fallback:high;param_rtl:low,attention;inference,0.18,low,high,none,low,low,high,ok,LLM-inference-on-FPGA-papers/papers/2306.08746v1.pdf,5
2307.07319v5,2307.07319,The Power of Large Language Models for Wireless Communication System Development: A Case Study on FPGA Platforms,high,param_rtl:high;cpu_fpga_fallback:medium;hls:low, llm;large language model;transformer;attention;gpt;token;inference,0.64,none,low,none,high,low,medium,ok,LLM-inference-on-FPGA-papers/papers/2307.07319v5.pdf,17
2308.05930v1,2308.05930,INR-Arch: A Dataflow Architecture and Compiler for Arbitrary-Order Gradient Computations in Implicit Neural Representation Processing,high,hls:high;dataflow:high;cpu_fpga_fallback:high,decode;inference,0.18,low,high,none,medium,high,high,ok,LLM-inference-on-FPGA-papers/papers/2308.05930v1.pdf,9
