arxiv_id,base_arxiv_id,title,published_year,primary_category,all_categories,pdf_path,pdf_sha256,pdf_pages,pdf_scanned,pdf_status,survey_scope,llm_relevance_hits,llm_relevance_score,mlir_circt_level,mlir_circt_hits,mlir_circt_pages,mlir_circt_evidence,hls_level,hls_hits,hls_pages,hls_evidence,overlay_level,overlay_hits,overlay_pages,overlay_evidence,param_rtl_level,param_rtl_hits,param_rtl_pages,param_rtl_evidence,dataflow_level,dataflow_hits,dataflow_pages,dataflow_evidence,cpu_fpga_fallback_level,cpu_fpga_fallback_hits,cpu_fpga_fallback_pages,cpu_fpga_fallback_evidence,realistically_reusable,top_route_candidates,route_notes
1209.0732v1,1209.0732,Linear Transformations for Randomness Extraction,2012,cs.IT,cs.IT|cs.CR|math.PR,LLM-inference-on-FPGA-papers/papers/1209.0732v1.pdf,60e6d21bf05e8739d5d5b61057a49767cc849cefe10120c73f1124665c441642,14,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,none,,,,low,ps ,"ps @p2,13","ps @p2,13",low,cpu_fpga_fallback:low,"cpu_fpga_fallback:low via ps @p2,13"
1209.3061v1,1209.3061,Design and Implementation A different Architectures of mixcolumn in FPGA,2012,cs.CR,cs.CR,LLM-inference-on-FPGA-papers/papers/1209.3061v1.pdf,bd9a1095b2c390501ecf3044ee3a56ea338c8ff42fd297b035c3e6b1e357dca7,12,yes,ok,full_paper,,0.00,low,affine,affine@p4,affine@p4,none,,,,none,,,,high,vhdl;synthesizable;hardware description,"vhdl@p1,2,8,9,11;synthesizable@p1,11;hardware description@p1","vhdl@p1,2,8,9,11;synthesizable@p1,11;hardware description@p1",low,pipeline,pipeline@p5,pipeline@p5,medium, cpu;ps , cpu@p2;ps @p2,cpu@p2;ps @p2,low,param_rtl:high;cpu_fpga_fallback:medium;mlir_circt:low,"param_rtl:high via vhdl@p1,2,8,9,11;synthesizable@p1,11;hardware description@p1"
1305.3251v1,1305.3251,Field Programmable DSP Arrays - A Novel Reconfigurable Architecture for Efficient Realization of Digital Signal Processing Functions,2013,cs.OH,cs.OH,LLM-inference-on-FPGA-papers/papers/1305.3251v1.pdf,598b8867a91ac41c9ea6dfd64904e841ea3a36a75eca849a498a7405e3b338c6,18,yes,ok,full_paper,decode,0.09,none,,,,none,,,,none,,,,none,,,,none,,,,low,ps ,ps @p13,ps @p13,low,cpu_fpga_fallback:low,cpu_fpga_fallback:low via ps @p13
1307.8019v4,1307.8019,Incorporation of Polar Mellin Transform in a Hybrid Optoelectronic Correlator for Scale & Rotation Invariant Target Recognition,2013,physics.optics,physics.optics,LLM-inference-on-FPGA-papers/papers/1307.8019v4.pdf,0e64b16a681fc6b6b637e7a7ac6b9f307bcb27f6c240077ce4d48e7a042b1b21,39,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,none,,,,medium,hybrid;ps ,"hybrid@p1,2,3,5,37;ps @p8,9","hybrid@p1,2,3,5,37;ps @p8,9",low,cpu_fpga_fallback:medium,"cpu_fpga_fallback:medium via hybrid@p1,2,3,5,37;ps @p8,9"
1309.7843v3,1309.7843,Energy Efficient Telemonitoring of Physiological Signals via Compressed Sensing: A Fast Algorithm and Power Consumption Evaluation,2013,cs.IT,cs.IT,LLM-inference-on-FPGA-papers/papers/1309.7843v3.pdf,dda4c3f6898f7064e0766292d2442ff321df8b83239edd0c37b73fe101ce99a8,9,yes,ok,full_paper,autoregressive,0.09,none,,,,none,,,,none,,,,none,,,,none,,,,medium, cpu;ps ," cpu@p4,5,6;ps @p6,8","cpu@p4,5,6;ps @p6,8",medium,cpu_fpga_fallback:medium,"cpu_fpga_fallback:medium via  cpu@p4,5,6;ps @p6,8"
1401.8288v2,1401.8288,A Scalable Hybrid FPGA/GPU FX Correlator,2014,astro-ph.IM,astro-ph.IM,LLM-inference-on-FPGA-papers/papers/1401.8288v2.pdf,88ad4fd672988f64504be702bcfbbe2e5ab9bea6cf9a09c66bcc3c231becb66e,8,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,high,streaming;pipeline;dataflow;tiling,"streaming@p2;pipeline@p2,3,4,6,7;dataflow@p4;tiling@p5","streaming@p2;pipeline@p2,3,4,6,7;dataflow@p4;tiling@p5",high, cpu;hybrid;ps ;host," cpu@p1,2,3,4,5,6;hybrid@p1,2,5,7;ps @p2,5,6,7;host@p4","cpu@p1,2,3,4,5,6;hybrid@p1,2,5,7;ps @p2,5,6,7;host@p4",low,dataflow:high;cpu_fpga_fallback:high,"dataflow:high via streaming@p2;pipeline@p2,3,4,6,7;dataflow@p4;tiling@p5"
1402.6005v1,1402.6005,Open Cores for Digital Signal Processing,2014,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/1402.6005v1.pdf,7e5211232071d2615a44ef0e698b55180c8185bc58202e63e97e21f7ef151949,20,yes,ok,full_paper,,0.00,none,,,,none,,,,low,instruction set,instruction set@p7,instruction set@p7,high,vhdl;verilog;synthesizable,"vhdl@p1,2,3,9,19;verilog@p7;synthesizable@p7","vhdl@p1,2,3,9,19;verilog@p7;synthesizable@p7",low,pipeline,"pipeline@p6,10,13","pipeline@p6,10,13",low,ps ,ps @p3,ps @p3,low,param_rtl:high;overlay:low;dataflow:low,"param_rtl:high via vhdl@p1,2,3,9,19;verilog@p7;synthesizable@p7"
1404.3877v1,1404.3877,Design space exploration for image processing architectures on FPGA targets,2014,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/1404.3877v1.pdf,0e6a5daa6ec3e871ebf53182dae40b11de1e4494b840a557e78783af7efbcce9,19,yes,ok,full_paper,decode,0.09,none,,,,none,,,,none,,,,medium,hardware description; rtl,"hardware description@p2,5; rtl@p5,7","hardware description@p2,5;rtl@p5,7",medium,pipeline;streaming,"pipeline@p3,7,8,9,10;streaming@p9","pipeline@p3,7,8,9,10;streaming@p9",high, cpu;processing system;co-design;ps ," cpu@p2;processing system@p2;co-design@p2,12;ps @p4,5,6,8,13","cpu@p2;processing system@p2;co-design@p2,12;ps @p4,5,6,8,13",high,cpu_fpga_fallback:high;param_rtl:medium;dataflow:medium,"cpu_fpga_fallback:high via  cpu@p2;processing system@p2;co-design@p2,12;ps @p4,5,6,8,13"
1405.0413v1,1405.0413,Multiplierless Approximate 4-point DCT VLSI Architectures for Transform Block Coding,2014,cs.AR,cs.AR|cs.MM|math.NA,LLM-inference-on-FPGA-papers/papers/1405.0413v1.pdf,234bb3aecfde74ec4eb92a225868bc86aff11cacc922514ec3f31a53541ca831,5,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,none,,,,low,ps ,ps @p4,ps @p4,low,cpu_fpga_fallback:low,cpu_fpga_fallback:low via ps @p4
1405.6166v1,1405.6166,Real Time Speckle Image De-Noising,2014,cs.CV,cs.CV,LLM-inference-on-FPGA-papers/papers/1405.6166v1.pdf,20026cb052fc1916f24d03d5c10e38f807cb43f3098d88c857b04dab8f5a1abf,9,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,low,hardware description,hardware description@p3,hardware description@p3,none,,,,low,ps ,ps @p2,ps @p2,low,param_rtl:low;cpu_fpga_fallback:low,param_rtl:low via hardware description@p3
1406.1918v1,1406.1918,Front-End Board with Cyclone V as a Test High-Resolution Platform for the Auger-Beyond-2015 Front End Electronics,2014,physics.ins-det,physics.ins-det|hep-ex,LLM-inference-on-FPGA-papers/papers/1406.1918v1.pdf,33c7d0302b06a32fbe75fdbacea6384924d28cd0b453bfce400cea5ad00f3687,8,yes,ok,full_paper,transformer,0.09,none,,,,none,,,,none,,,,medium,verilog;vhdl,verilog@p3;vhdl@p3,verilog@p3;vhdl@p3,low,pipeline,pipeline@p2,pipeline@p2,high,hybrid;ps ;processing system;host,"hybrid@p1,8;ps @p1,3,4,8;processing system@p3;host@p4","hybrid@p1,8;ps @p1,3,4,8;processing system@p3;host@p4",high,cpu_fpga_fallback:high;param_rtl:medium;dataflow:low,"cpu_fpga_fallback:high via hybrid@p1,8;ps @p1,3,4,8;processing system@p3;host@p4"
1406.2288v1,1406.2288,Canadian Hydrogen Intensity Mapping Experiment (CHIME) Pathfinder,2014,astro-ph.IM,astro-ph.IM,LLM-inference-on-FPGA-papers/papers/1406.2288v1.pdf,46d63045adebbe8be52837af3de91ebfc03152147b5b1b22964bc2f0e36d43f4,20,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,low,vhdl,vhdl@p14,vhdl@p14,medium,streaming;pipeline,"streaming@p14,16;pipeline@p16","streaming@p14,16;pipeline@p16",high,hybrid;ps ;host;offload; cpu,"hybrid@p1;ps @p2,4,6,10,11,12,13,14,15,16,17;host@p6,10,12,14,15,16;offload@p10,12; cpu@p12,16","hybrid@p1;ps @p2,4,6,10,11,12,13,14,15,16,17;host@p6,10,12,14,15,16;offload@p10,12;cpu@p12,16",low,cpu_fpga_fallback:high;dataflow:medium;param_rtl:low,"cpu_fpga_fallback:high via hybrid@p1;ps @p2,4,6,10,11,12,13,14,15,16,17;host@p6,10,12,14,15,16;offload@p10,12; cpu@p12,16"
1407.0506v1,1407.0506,The Design and Implementation of an ANN-based Non-linearity Compensator of LVDT Sensor,2014,eess.SY,eess.SY,LLM-inference-on-FPGA-papers/papers/1407.0506v1.pdf,bdf99cad6b2da15e0e3d53b3e79a3a74ced4b08e2a144e1b9b5c6b063a4c7ab5,8,yes,ok,full_paper,transformer,0.09,low,tensor,tensor@p3,tensor@p3,none,,,,none,,,,low,vhdl,"vhdl@p1,7,8","vhdl@p1,7,8",low,systolic,systolic@p8,systolic@p8,low, cpu, cpu@p2,cpu@p2,low,param_rtl:low;mlir_circt:low;dataflow:low,"param_rtl:low via vhdl@p1,7,8"
1408.5401v1,1408.5401,A Many-Core Overlay for High-Performance Embedded Computing on FPGAs,2014,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/1408.5401v1.pdf,ade81a2b04ca283e788ccd382b94be793cd8d612b28593cc87155265da76f748,6,yes,ok,full_paper,,0.00,none,,,,none,,,,low,overlay,"overlay@p1,2,3,4","overlay@p1,2,3,4",none,,,,low,systolic,systolic@p2,systolic@p2,medium,hybrid;ps ,"hybrid@p2;ps @p2,4,5","hybrid@p2;ps @p2,4,5",low,cpu_fpga_fallback:medium;overlay:low;dataflow:low,"cpu_fpga_fallback:medium via hybrid@p2;ps @p2,4,5"
1411.0863v1,1411.0863,Inner Loop Optimizations in Mapping Single Threaded Programs to Hardware,2014,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/1411.0863v1.pdf,99970970f1fabcd2d8a2c5f83de4514644b1cbb0b5ef1862759d4e541e5755c2,8,yes,ok,full_paper,token,0.09,medium,handshake;llvm,handshake@p2;llvm@p2,handshake@p2;llvm@p2,medium, hls;llvm, hls@p2;llvm@p2,hls@p2;llvm@p2,none,,,,medium,hardware description;vhdl,"hardware description@p1;vhdl@p2,3,5","hardware description@p1;vhdl@p2,3,5",medium,pipeline;dataflow,"pipeline@p1,2,3,5,6,7,8;dataflow@p7,8","pipeline@p1,2,3,5,6,7,8;dataflow@p7,8",low,ps ,"ps @p1,2,5","ps @p1,2,5",medium,param_rtl:medium;mlir_circt:medium;hls:medium,"param_rtl:medium via hardware description@p1;vhdl@p2,3,5"
1501.02995v1,1501.02995,Improved 8-point Approximate DCT for Image and Video Compression Requiring Only 14 Additions,2015,cs.MM,cs.MM|cs.CV|math.NA|stat.ME,LLM-inference-on-FPGA-papers/papers/1501.02995v1.pdf,bcce297c25ac5a9aa1239ba70dceb705d924e31f8aeef38de7629e024d07309f,30,yes,ok,full_paper,attention,0.09,none,,,,none,,,,none,,,,high,vhdl;hardware description; rtl,"vhdl@p19;hardware description@p19,21; rtl@p21","vhdl@p19;hardware description@p19,21;rtl@p21",low,systolic,systolic@p1,systolic@p1,low,processing system,processing system@p1,processing system@p1,high,param_rtl:high;dataflow:low;cpu_fpga_fallback:low,"param_rtl:high via vhdl@p19;hardware description@p19,21; rtl@p21"
1502.00555v1,1502.00555,A Discrete Tchebichef Transform Approximation for Image and Video Coding,2015,stat.ME,stat.ME|cs.CV|cs.MM|math.NA|stat.CO,LLM-inference-on-FPGA-papers/papers/1502.00555v1.pdf,60dbb1b3a72c6574e1e0d660368edd67feb81c5362ee6d7dae94337fa6b99a10,13,yes,ok,full_paper,decode,0.09,none,,,,none,,,,none,,,,none,,,,none,,,,low,ps ,"ps @p3,7","ps @p3,7",low,cpu_fpga_fallback:low,"cpu_fpga_fallback:low via ps @p3,7"
1502.04221v1,1502.04221,A Row-parallel 8$\times$8 2-D DCT Architecture Using Algebraic Integer Based Exact Computation,2015,cs.AR,cs.AR|cs.DM|math.NT|stat.CO|stat.ME,LLM-inference-on-FPGA-papers/papers/1502.04221v1.pdf,cf88448162ed63a177f6ff14532a1f579f8f92cdd889daaaf1c2c4acd46963d0,28,yes,ok,full_paper,decode,0.09,none,,,,none,,,,none,,,,none,,,,medium,systolic;pipeline,"systolic@p3,22,26,27;pipeline@p13,26,27","systolic@p3,22,26,27;pipeline@p13,26,27",medium,processing system;ps ,"processing system@p1,3,22;ps @p2,10,13,21","processing system@p1,3,22;ps @p2,10,13,21",medium,dataflow:medium;cpu_fpga_fallback:medium,"dataflow:medium via systolic@p3,22,26,27;pipeline@p13,26,27"
1502.07055v1,1502.07055,A Novel Architecture of Area Efficient FFT Algorithm for FPGA Implementation,2015,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/1502.07055v1.pdf,6ccd308d07718c8bef4927e445b87d31ed34c5f948bd7a3165358a2471e7d845,6,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,medium,vhdl; rtl,"vhdl@p1,3; rtl@p5","vhdl@p1,3;rtl@p5",low,pipeline,"pipeline@p1,6","pipeline@p1,6",low,processing system,processing system@p6,processing system@p6,low,param_rtl:medium;dataflow:low;cpu_fpga_fallback:low,"param_rtl:medium via vhdl@p1,3; rtl@p5"
1504.05372v1,1504.05372,Inferring Program Transformations from Type Transformations for Partitioning of Ordered Sets,2015,cs.PL,cs.PL,LLM-inference-on-FPGA-papers/papers/1504.05372v1.pdf,8bc31794ab37585fbadeabbd60fc10796ef4ddbf2eb14c61c6b27b18519ce930,17,yes,ok,full_paper,inference,0.09,none,,,,none,,,,none,,,,none,,,,medium,streaming;pipeline,"streaming@p1,13;pipeline@p7","streaming@p1,13;pipeline@p7",low,ps ,"ps @p6,7,10,16","ps @p6,7,10,16",medium,dataflow:medium;cpu_fpga_fallback:low,"dataflow:medium via streaming@p1,13;pipeline@p7"
1504.06779v2,1504.06779,Computational Cost Reduction in Learned Transform Classifications,2015,cs.CV,cs.CV|stat.ML,LLM-inference-on-FPGA-papers/papers/1504.06779v2.pdf,acbe11e3cc5f5a7dddfe393cd942beefd6415ca9dbb1fac250b7afb88d020f2f,18,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,none,,,,low,ps ,"ps @p3,4,7,9,13","ps @p3,4,7,9,13",low,cpu_fpga_fallback:low,"cpu_fpga_fallback:low via ps @p3,4,7,9,13"
1505.01120v1,1505.01120,SparkCL: A Unified Programming Framework for Accelerators on Heterogeneous Clusters,2015,cs.DC,cs.DC,LLM-inference-on-FPGA-papers/papers/1505.01120v1.pdf,d56a1b4367b62b0f3fb3d4dab972818219cf98ff59e897199239f7a43d0c0da5,5,yes,ok,full_paper,,0.00,none,,,,none,,,,low,microarchitecture,microarchitecture@p5,microarchitecture@p5,none,,,,none,,,,high,offload;ps ;heterogeneous; cpu,"offload@p1;ps @p1,5;heterogeneous@p1,4,5; cpu@p2,4","offload@p1;ps @p1,5;heterogeneous@p1,4,5;cpu@p2,4",low,cpu_fpga_fallback:high;overlay:low,"cpu_fpga_fallback:high via offload@p1;ps @p1,5;heterogeneous@p1,4,5; cpu@p2,4"
1508.06811v1,1508.06811,Model-based Hardware Design for FPGAs using Folding Transformations based on Subcircuits,2015,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/1508.06811v1.pdf,88043b2da5cfb9173d1893bcc8a9c749e318d3605c42cd4579005fe38a3a7c47,6,yes,ok,full_paper,,0.00,none,,,,medium,high-level synthesis; hls,"high-level synthesis@p1,2,6; hls@p1","high-level synthesis@p1,2,6;hls@p1",none,,,,low,vhdl,"vhdl@p3,4,6","vhdl@p3,4,6",low,pipeline,"pipeline@p3,6","pipeline@p3,6",high, cpu;ps ;processing system," cpu@p1;ps @p2,4;processing system@p6","cpu@p1;ps @p2,4;processing system@p6",low,cpu_fpga_fallback:high;hls:medium;param_rtl:low,"cpu_fpga_fallback:high via  cpu@p1;ps @p2,4;processing system@p6"
1509.04268v1,1509.04268,High Speed VLSI Architecture for 3-D Discrete Wavelet Transform,2015,cs.AR,cs.AR,LLM-inference-on-FPGA-papers/papers/1509.04268v1.pdf,477912a8809465f1d72b2844e233257abd24069a7abbdaf4e974baab9793e34c,13,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,medium,verilog; rtl,"verilog@p1,9,11; rtl@p1,11","verilog@p1,9,11;rtl@p1,11",low,pipeline,"pipeline@p1,2,3,6,8,9,12","pipeline@p1,2,3,6,8,9,12",low,ps ,"ps @p1,4,5","ps @p1,4,5",low,param_rtl:medium;dataflow:low;cpu_fpga_fallback:low,"param_rtl:medium via verilog@p1,9,11; rtl@p1,11"
1511.05552v4,1511.05552,Recurrent Neural Networks Hardware Implementation on FPGA,2015,cs.NE,cs.NE,LLM-inference-on-FPGA-papers/papers/1511.05552v4.pdf,15f9b03f5517f5e8f999b22029d4077f6b60f68422239e811db5efbf4b50cc51,7,yes,ok,full_paper,decode,0.09,low,handshake,handshake@p3,handshake@p3,none,,,,none,,,,none,,,,high,streaming;pipeline;dataflow,"streaming@p2,3,5;pipeline@p2,3;dataflow@p6","streaming@p2,3,5;pipeline@p2,3;dataflow@p6",high, cpu;ps ;processing system," cpu@p1,4,5,6;ps @p2;processing system@p6","cpu@p1,4,5,6;ps @p2;processing system@p6",high,dataflow:high;cpu_fpga_fallback:high;mlir_circt:low,"dataflow:high via streaming@p2,3,5;pipeline@p2,3;dataflow@p6"
1602.02517v1,1602.02517,Energy Efficient Video Fusion with Heterogeneous CPU-FPGA Devices,2016,cs.AR,cs.AR|cs.PF,LLM-inference-on-FPGA-papers/papers/1602.02517v1.pdf,b0341bbaf471f3af6482eeecd7b49ef2b9e06b190f76ac6964b6b4e44e9a8cbd,6,yes,ok,full_paper,decode,0.09,none,,,,medium,high-level synthesis; hls,"high-level synthesis@p1,3; hls@p1","high-level synthesis@p1,3;hls@p1",none,,,,low, rtl, rtl@p3,rtl@p3,medium,pipeline;double buffering,"pipeline@p3,4;double buffering@p4","pipeline@p3,4;double buffering@p4",high, cpu;processing system;hybrid;cpu-fpga;heterogeneous;ps ," cpu@p1,2,3;processing system@p1,3,4,6;hybrid@p1;cpu-fpga@p1;heterogeneous@p1,6;ps @p3,4,5,6","cpu@p1,2,3;processing system@p1,3,4,6;hybrid@p1;cpu-fpga@p1;heterogeneous@p1,6",high,cpu_fpga_fallback:high;hls:medium;dataflow:medium,"cpu_fpga_fallback:high via  cpu@p1,2,3;processing system@p1,3,4,6;hybrid@p1;cpu-fpga@p1;heterogeneous@p1,6;ps @p3,4,5,6"
1602.07620v1,1602.07620,A Low Complexity VLSI Architecture for Multi-Focus Image Fusion in DCT Domain,2015,cs.CV,cs.CV,LLM-inference-on-FPGA-papers/papers/1602.07620v1.pdf,20a45e92e2eb79502368f5aea73a7b303f3cbca1eb005078d47065085d45b0b8,9,yes,ok,full_paper,,0.00,none,,,,none,,,,none,,,,none,,,,none,,,,low,ps ,ps @p4,ps @p4,low,cpu_fpga_fallback:low,cpu_fpga_fallback:low via ps @p4
1603.05154v1,1603.05154,2D Discrete Fourier Transform with Simultaneous Edge Artifact Removal for Real-Time Applications,2016,cs.CV,cs.CV|cs.AR,LLM-inference-on-FPGA-papers/papers/1603.05154v1.pdf,8370bd24569219872eba2cbcde944e2953ed006edd560b80ad941a028db7cf52,4,yes,ok,full_paper,,0.00,none,,,,low,high-level synthesis,high-level synthesis@p1,high-level synthesis@p1,none,,,,none,,,,low,dataflow,dataflow@p4,dataflow@p4,low,host,"host@p1,3,4","host@p1,3,4",low,hls:low;dataflow:low;cpu_fpga_fallback:low,hls:low via high-level synthesis@p1
